case_id,module,schema_family,variant_id,difficulty,model,timestamp,expected_json,error,latency_s,raw_response,parsed_ok,predicted_json,brief_explanation,field_results_json,points,max_points,score
def_001_package_placebo,defeaters,placebo_control,,,gpt-5-mini,2026-07-08T04:26:57.653211+00:00,"{""defeater_present"": ""no"", ""defeater_type"": ""none_placebo"", ""defeater_strength"": ""none"", ""support_relation"": ""no_impact"", ""belief_revision"": ""maintain_target_belief""}",,4.598,"{
  ""defeater_present"": ""no"",
  ""defeater_type"": ""none_placebo"",
  ""defeater_strength"": ""none"",
  ""support_relation"": ""no_impact"",
  ""belief_revision"": ""maintain_target_belief"",
  ""brief_explanation"": ""The truck's new paint color is irrelevant to the tracking report that the package was delivered, so it does not affect Ana's support for p.""
}",True,"{""defeater_present"": ""no"", ""defeater_type"": ""none_placebo"", ""defeater_strength"": ""none"", ""support_relation"": ""no_impact"", ""belief_revision"": ""maintain_target_belief"", ""brief_explanation"": ""The truck's new paint color is irrelevant to the tracking report that the package was delivered, so it does not affect Ana's support for p.""}","The truck's new paint color is irrelevant to the tracking report that the package was delivered, so it does not affect Ana's support for p.","{""defeater_present"": true, ""defeater_type"": true, ""defeater_strength"": true, ""support_relation"": true, ""belief_revision"": true, ""strength_support_coherence"": true, ""support_revision_coherence"": true}",7.0,7.0,1.0
def_002_package_rebutting,defeaters,rebutting,,,gpt-5-mini,2026-07-08T04:27:02.251486+00:00,"{""defeater_present"": ""yes"", ""defeater_type"": ""rebutting_defeater"", ""defeater_strength"": ""strong"", ""support_relation"": ""negation_better_supported"", ""belief_revision"": ""believe_negation""}",,5.374,"{
  ""defeater_present"": ""yes"",
  ""defeater_type"": ""rebutting_defeater"",
  ""defeater_strength"": ""strong"",
  ""support_relation"": ""negation_better_supported"",
  ""belief_revision"": ""believe_negation"",
  ""brief_explanation"": ""The warehouse notification directly contradicts the earlier 'delivered' status and provides stronger evidence for not-p, so Ana should believe not-p.""
}",True,"{""defeater_present"": ""yes"", ""defeater_type"": ""rebutting_defeater"", ""defeater_strength"": ""strong"", ""support_relation"": ""negation_better_supported"", ""belief_revision"": ""believe_negation"", ""brief_explanation"": ""The warehouse notification directly contradicts the earlier 'delivered' status and provides stronger evidence for not-p, so Ana should believe not-p.""}","The warehouse notification directly contradicts the earlier 'delivered' status and provides stronger evidence for not-p, so Ana should believe not-p.","{""defeater_present"": true, ""defeater_type"": true, ""defeater_strength"": true, ""support_relation"": true, ""belief_revision"": true, ""strength_support_coherence"": true, ""support_revision_coherence"": true}",7.0,7.0,1.0
def_003_package_undercutting,defeaters,undercutting,,,gpt-5-mini,2026-07-08T04:27:07.626086+00:00,"{""defeater_present"": ""yes"", ""defeater_type"": ""undercutting_defeater"", ""defeater_strength"": ""moderate"", ""support_relation"": ""equal_support"", ""belief_revision"": ""suspend_judgment""}",,7.394,"{
  ""defeater_present"": ""yes"",
  ""defeater_type"": ""undercutting_defeater"",
  ""defeater_strength"": ""moderate"",
  ""support_relation"": ""equal_support"",
  ""belief_revision"": ""suspend_judgment"",
  ""brief_explanation"": ""Multiple false delivered notices undermine the tracking page's reliability enough to remove Ana's prior advantage for p, so she should withhold judgment until further evidence.""
}",True,"{""defeater_present"": ""yes"", ""defeater_type"": ""undercutting_defeater"", ""defeater_strength"": ""moderate"", ""support_relation"": ""equal_support"", ""belief_revision"": ""suspend_judgment"", ""brief_explanation"": ""Multiple false delivered notices undermine the tracking page's reliability enough to remove Ana's prior advantage for p, so she should withhold judgment until further evidence.""}","Multiple false delivered notices undermine the tracking page's reliability enough to remove Ana's prior advantage for p, so she should withhold judgment until further evidence.","{""defeater_present"": true, ""defeater_type"": true, ""defeater_strength"": true, ""support_relation"": true, ""belief_revision"": true, ""strength_support_coherence"": true, ""support_revision_coherence"": true}",7.0,7.0,1.0
def_004_dolphin_placebo,defeaters,placebo_control,,,gpt-5-mini,2026-07-08T04:27:15.020546+00:00,"{""defeater_present"": ""no"", ""defeater_type"": ""none_placebo"", ""defeater_strength"": ""none"", ""support_relation"": ""no_impact"", ""belief_revision"": ""maintain_target_belief""}",,4.775,"{
  ""defeater_present"": ""no"",
  ""defeater_type"": ""none_placebo"",
  ""defeater_strength"": ""none"",
  ""support_relation"": ""no_impact"",
  ""belief_revision"": ""maintain_target_belief"",
  ""brief_explanation"": ""The sighting of pelicans is unrelated to Jerry's visual evidence of a dolphin and thus does not change his support for there being a dolphin in the water.""
}",True,"{""defeater_present"": ""no"", ""defeater_type"": ""none_placebo"", ""defeater_strength"": ""none"", ""support_relation"": ""no_impact"", ""belief_revision"": ""maintain_target_belief"", ""brief_explanation"": ""The sighting of pelicans is unrelated to Jerry's visual evidence of a dolphin and thus does not change his support for there being a dolphin in the water.""}",The sighting of pelicans is unrelated to Jerry's visual evidence of a dolphin and thus does not change his support for there being a dolphin in the water.,"{""defeater_present"": true, ""defeater_type"": true, ""defeater_strength"": true, ""support_relation"": true, ""belief_revision"": true, ""strength_support_coherence"": true, ""support_revision_coherence"": true}",7.0,7.0,1.0
def_005_dolphin_rebutting,defeaters,rebutting,,,gpt-5-mini,2026-07-08T04:27:19.795711+00:00,"{""defeater_present"": ""yes"", ""defeater_type"": ""rebutting_defeater"", ""defeater_strength"": ""strong"", ""support_relation"": ""negation_better_supported"", ""belief_revision"": ""believe_negation""}",,5.887,"{
  ""defeater_present"": ""yes"",
  ""defeater_type"": ""rebutting_defeater"",
  ""defeater_strength"": ""strong"",
  ""support_relation"": ""negation_better_supported"",
  ""belief_revision"": ""believe_negation"",
  ""brief_explanation"": ""A reliable marine biologist's direct testimony that the animal is a shark provides strong evidence for not-p, outweighing Jerry's initial visual appearance, so not-p is better supported.""
}",True,"{""defeater_present"": ""yes"", ""defeater_type"": ""rebutting_defeater"", ""defeater_strength"": ""strong"", ""support_relation"": ""negation_better_supported"", ""belief_revision"": ""believe_negation"", ""brief_explanation"": ""A reliable marine biologist's direct testimony that the animal is a shark provides strong evidence for not-p, outweighing Jerry's initial visual appearance, so not-p is better supported.""}","A reliable marine biologist's direct testimony that the animal is a shark provides strong evidence for not-p, outweighing Jerry's initial visual appearance, so not-p is better supported.","{""defeater_present"": true, ""defeater_type"": true, ""defeater_strength"": true, ""support_relation"": true, ""belief_revision"": true, ""strength_support_coherence"": true, ""support_revision_coherence"": true}",7.0,7.0,1.0
def_006_dolphin_higher_order,defeaters,higher_order,,,gpt-5-mini,2026-07-08T04:27:25.682878+00:00,"{""defeater_present"": ""yes"", ""defeater_type"": ""higher_order_defeater"", ""defeater_strength"": ""moderate"", ""support_relation"": ""equal_support"", ""belief_revision"": ""suspend_judgment""}",,7.787,"{
  ""defeater_present"": ""yes"",
  ""defeater_type"": ""higher_order_defeater"",
  ""defeater_strength"": ""moderate"",
  ""support_relation"": ""equal_support"",
  ""belief_revision"": ""suspend_judgment"",
  ""brief_explanation"": ""Knowing the medication can cause vivid animal hallucinations undermines his perceptual reliability enough to neutralize his visual evidence, leaving p and not-p equally supported so he should suspend judgment.""
}",True,"{""defeater_present"": ""yes"", ""defeater_type"": ""higher_order_defeater"", ""defeater_strength"": ""moderate"", ""support_relation"": ""equal_support"", ""belief_revision"": ""suspend_judgment"", ""brief_explanation"": ""Knowing the medication can cause vivid animal hallucinations undermines his perceptual reliability enough to neutralize his visual evidence, leaving p and not-p equally supported so he should suspend judgment.""}","Knowing the medication can cause vivid animal hallucinations undermines his perceptual reliability enough to neutralize his visual evidence, leaving p and not-p equally supported so he should suspend judgment.","{""defeater_present"": true, ""defeater_type"": true, ""defeater_strength"": true, ""support_relation"": true, ""belief_revision"": true, ""strength_support_coherence"": true, ""support_revision_coherence"": true}",7.0,7.0,1.0
def_007_burrito_placebo,defeaters,placebo_control,,,gpt-5-mini,2026-07-08T04:27:33.470354+00:00,"{""defeater_present"": ""no"", ""defeater_type"": ""none_placebo"", ""defeater_strength"": ""none"", ""support_relation"": ""no_impact"", ""belief_revision"": ""maintain_target_belief""}",,5.066,"{
  ""defeater_present"": ""no"",
  ""defeater_type"": ""none_placebo"",
  ""defeater_strength"": ""none"",
  ""support_relation"": ""no_impact"",
  ""belief_revision"": ""maintain_target_belief"",
  ""brief_explanation"": ""The restaurant being farther away is irrelevant to the friend's testimony about burrito size, so Adam's support for p is unaffected.""
}",True,"{""defeater_present"": ""no"", ""defeater_type"": ""none_placebo"", ""defeater_strength"": ""none"", ""support_relation"": ""no_impact"", ""belief_revision"": ""maintain_target_belief"", ""brief_explanation"": ""The restaurant being farther away is irrelevant to the friend's testimony about burrito size, so Adam's support for p is unaffected.""}","The restaurant being farther away is irrelevant to the friend's testimony about burrito size, so Adam's support for p is unaffected.","{""defeater_present"": true, ""defeater_type"": true, ""defeater_strength"": true, ""support_relation"": true, ""belief_revision"": true, ""strength_support_coherence"": true, ""support_revision_coherence"": true}",7.0,7.0,1.0
def_008_burrito_rebutting,defeaters,rebutting,,,gpt-5-mini,2026-07-08T04:27:38.536448+00:00,"{""defeater_present"": ""yes"", ""defeater_type"": ""rebutting_defeater"", ""defeater_strength"": ""strong"", ""support_relation"": ""negation_better_supported"", ""belief_revision"": ""believe_negation""}",,5.542,"{
  ""defeater_present"": ""yes"",
  ""defeater_type"": ""rebutting_defeater"",
  ""defeater_strength"": ""strong"",
  ""support_relation"": ""negation_better_supported"",
  ""belief_revision"": ""believe_negation"",
  ""brief_explanation"": ""The recent review with photos directly contradicts the friend's claim and provides strong, direct evidence that the burritos are small, making not-p better supported and warranting belief in not-p.""
}",True,"{""defeater_present"": ""yes"", ""defeater_type"": ""rebutting_defeater"", ""defeater_strength"": ""strong"", ""support_relation"": ""negation_better_supported"", ""belief_revision"": ""believe_negation"", ""brief_explanation"": ""The recent review with photos directly contradicts the friend's claim and provides strong, direct evidence that the burritos are small, making not-p better supported and warranting belief in not-p.""}","The recent review with photos directly contradicts the friend's claim and provides strong, direct evidence that the burritos are small, making not-p better supported and warranting belief in not-p.","{""defeater_present"": true, ""defeater_type"": true, ""defeater_strength"": true, ""support_relation"": true, ""belief_revision"": true, ""strength_support_coherence"": true, ""support_revision_coherence"": true}",7.0,7.0,1.0
def_009_burrito_undercutting,defeaters,undercutting,,,gpt-5-mini,2026-07-08T04:27:44.078333+00:00,"{""defeater_present"": ""yes"", ""defeater_type"": ""undercutting_defeater"", ""defeater_strength"": ""moderate"", ""support_relation"": ""equal_support"", ""belief_revision"": ""suspend_judgment""}",,10.329,"{
  ""defeater_present"": ""yes"",
  ""defeater_type"": ""undercutting_defeater"",
  ""defeater_strength"": ""moderate"",
  ""support_relation"": ""equal_support"",
  ""belief_revision"": ""suspend_judgment"",
  ""brief_explanation"": ""The friend's repeated lies about burritos/tacos undermine Adam's testimonial basis for p, removing his sole support and leaving p and not-p equally supported.""
}",True,"{""defeater_present"": ""yes"", ""defeater_type"": ""undercutting_defeater"", ""defeater_strength"": ""moderate"", ""support_relation"": ""equal_support"", ""belief_revision"": ""suspend_judgment"", ""brief_explanation"": ""The friend's repeated lies about burritos/tacos undermine Adam's testimonial basis for p, removing his sole support and leaving p and not-p equally supported.""}","The friend's repeated lies about burritos/tacos undermine Adam's testimonial basis for p, removing his sole support and leaving p and not-p equally supported.","{""defeater_present"": true, ""defeater_type"": true, ""defeater_strength"": true, ""support_relation"": true, ""belief_revision"": true, ""strength_support_coherence"": true, ""support_revision_coherence"": true}",7.0,7.0,1.0
def_010_antarctica_placebo,defeaters,placebo_control,,,gpt-5-mini,2026-07-08T04:27:54.407249+00:00,"{""defeater_present"": ""no"", ""defeater_type"": ""none_placebo"", ""defeater_strength"": ""none"", ""support_relation"": ""no_impact"", ""belief_revision"": ""maintain_target_belief""}",,4.341,"{
  ""defeater_present"": ""no"",
  ""defeater_type"": ""none_placebo"",
  ""defeater_strength"": ""none"",
  ""support_relation"": ""no_impact"",
  ""belief_revision"": ""maintain_target_belief"",
  ""brief_explanation"": ""The textbook's blue cover is irrelevant to whether Antarctica exists, so it does not affect Cindy's support for p.""
}",True,"{""defeater_present"": ""no"", ""defeater_type"": ""none_placebo"", ""defeater_strength"": ""none"", ""support_relation"": ""no_impact"", ""belief_revision"": ""maintain_target_belief"", ""brief_explanation"": ""The textbook's blue cover is irrelevant to whether Antarctica exists, so it does not affect Cindy's support for p.""}","The textbook's blue cover is irrelevant to whether Antarctica exists, so it does not affect Cindy's support for p.","{""defeater_present"": true, ""defeater_type"": true, ""defeater_strength"": true, ""support_relation"": true, ""belief_revision"": true, ""strength_support_coherence"": true, ""support_revision_coherence"": true}",7.0,7.0,1.0
