case_id,module,schema_family,variant_id,difficulty,model,timestamp,expected_json,error,latency_s,raw_response,parsed_ok,predicted_json,brief_explanation,field_results_json,points,max_points,score
btk_001_false_belief,belief_acceptance_knowledge,belief_truth_knowledge,,,claude-haiku-4-5,2026-07-05T20:12:13.079701+00:00,"{""attitude_status"": ""believes"", ""truth_status"": ""false"", ""knowledge_status"": ""does_not_know""}",,1.17,"```json
{
  ""attitude_status"": ""believes"",
  ""truth_status"": ""false"",
  ""knowledge_status"": ""does_not_know"",
  ""brief_explanation"": ""Jack believes the proposition, but it is false, so he lacks knowledge despite his belief.""
}
```",True,"{""attitude_status"": ""believes"", ""truth_status"": ""false"", ""knowledge_status"": ""does_not_know"", ""brief_explanation"": ""Jack believes the proposition, but it is false, so he lacks knowledge despite his belief.""}","Jack believes the proposition, but it is false, so he lacks knowledge despite his belief.","{""attitude_status"": true, ""truth_status"": true, ""knowledge_status"": true}",3.0,3.0,1.0
btk_002_true_without_belief,belief_acceptance_knowledge,belief_truth_knowledge,,,claude-haiku-4-5,2026-07-05T20:12:14.249625+00:00,"{""attitude_status"": ""does_not_believe"", ""truth_status"": ""true"", ""knowledge_status"": ""does_not_know""}",,1.022,"```json
{
  ""attitude_status"": ""does_not_believe"",
  ""truth_status"": ""true"",
  ""knowledge_status"": ""does_not_know"",
  ""brief_explanation"": ""Bill merely imagined the proposition without forming a belief about it, so he neither believes nor knows it, despite the proposition being factually true.""
}
```",True,"{""attitude_status"": ""does_not_believe"", ""truth_status"": ""true"", ""knowledge_status"": ""does_not_know"", ""brief_explanation"": ""Bill merely imagined the proposition without forming a belief about it, so he neither believes nor knows it, despite the proposition being factually true.""}","Bill merely imagined the proposition without forming a belief about it, so he neither believes nor knows it, despite the proposition being factually true.","{""attitude_status"": true, ""truth_status"": true, ""knowledge_status"": true}",3.0,3.0,1.0
btk_003_knowledge_with_distractor,belief_acceptance_knowledge,belief_truth_knowledge,,,claude-haiku-4-5,2026-07-05T20:12:15.271318+00:00,"{""attitude_status"": ""believes"", ""truth_status"": ""true"", ""knowledge_status"": ""knows""}",,0.992,"```json
{
  ""attitude_status"": ""believes"",
  ""truth_status"": ""true"",
  ""knowledge_status"": ""knows"",
  ""brief_explanation"": ""Brooke believes Mars is red based on strong astronomical evidence, the proposition is true, and she has adequate justification from reliable evidence, satisfying the conditions for knowledge.""
}
```",True,"{""attitude_status"": ""believes"", ""truth_status"": ""true"", ""knowledge_status"": ""knows"", ""brief_explanation"": ""Brooke believes Mars is red based on strong astronomical evidence, the proposition is true, and she has adequate justification from reliable evidence, satisfying the conditions for knowledge.""}","Brooke believes Mars is red based on strong astronomical evidence, the proposition is true, and she has adequate justification from reliable evidence, satisfying the conditions for knowledge.","{""attitude_status"": true, ""truth_status"": true, ""knowledge_status"": true}",3.0,3.0,1.0
btk_004_justified_false_belief,belief_acceptance_knowledge,belief_truth_knowledge,,,claude-haiku-4-5,2026-07-05T20:12:16.263747+00:00,"{""attitude_status"": ""believes"", ""truth_status"": ""false"", ""knowledge_status"": ""does_not_know""}",,1.068,"```json
{
  ""attitude_status"": ""believes"",
  ""truth_status"": ""false"",
  ""knowledge_status"": ""does_not_know"",
  ""brief_explanation"": ""Adam believes the proposition based on reliable testimony, but the proposition is false because the doctor was mistaken, so Adam's belief does not constitute knowledge.""
}
```",True,"{""attitude_status"": ""believes"", ""truth_status"": ""false"", ""knowledge_status"": ""does_not_know"", ""brief_explanation"": ""Adam believes the proposition based on reliable testimony, but the proposition is false because the doctor was mistaken, so Adam's belief does not constitute knowledge.""}","Adam believes the proposition based on reliable testimony, but the proposition is false because the doctor was mistaken, so Adam's belief does not constitute knowledge.","{""attitude_status"": true, ""truth_status"": true, ""knowledge_status"": true}",3.0,3.0,1.0
btk_005_justification_without_belief,belief_acceptance_knowledge,belief_truth_knowledge,,,claude-haiku-4-5,2026-07-05T20:12:17.332123+00:00,"{""attitude_status"": ""does_not_believe"", ""truth_status"": ""true"", ""knowledge_status"": ""does_not_know""}",,1.074,"```json
{
  ""attitude_status"": ""does_not_believe"",
  ""truth_status"": ""true"",
  ""knowledge_status"": ""does_not_know"",
  ""brief_explanation"": ""Jill does not believe the proposition despite having reliable evidence for it, so she lacks the belief component necessary for knowledge, even though the proposition is true.""
}
```",True,"{""attitude_status"": ""does_not_believe"", ""truth_status"": ""true"", ""knowledge_status"": ""does_not_know"", ""brief_explanation"": ""Jill does not believe the proposition despite having reliable evidence for it, so she lacks the belief component necessary for knowledge, even though the proposition is true.""}","Jill does not believe the proposition despite having reliable evidence for it, so she lacks the belief component necessary for knowledge, even though the proposition is true.","{""attitude_status"": true, ""truth_status"": true, ""knowledge_status"": true}",3.0,3.0,1.0
btk_006_unjustified_false_belief,belief_acceptance_knowledge,belief_truth_knowledge,,,claude-haiku-4-5,2026-07-05T20:12:18.405743+00:00,"{""attitude_status"": ""believes"", ""truth_status"": ""false"", ""knowledge_status"": ""does_not_know""}",,0.963,"```json
{
  ""attitude_status"": ""believes"",
  ""truth_status"": ""false"",
  ""knowledge_status"": ""does_not_know"",
  ""brief_explanation"": ""Veronica believes the proposition without evidence, but it is false in fact, so she lacks knowledge despite her belief.""
}
```",True,"{""attitude_status"": ""believes"", ""truth_status"": ""false"", ""knowledge_status"": ""does_not_know"", ""brief_explanation"": ""Veronica believes the proposition without evidence, but it is false in fact, so she lacks knowledge despite her belief.""}","Veronica believes the proposition without evidence, but it is false in fact, so she lacks knowledge despite her belief.","{""attitude_status"": true, ""truth_status"": true, ""knowledge_status"": true}",3.0,3.0,1.0
btk_007_simple_knowledge,belief_acceptance_knowledge,belief_truth_knowledge,,,claude-haiku-4-5,2026-07-05T20:12:19.368584+00:00,"{""attitude_status"": ""believes"", ""truth_status"": ""true"", ""knowledge_status"": ""knows""}",,0.903,"```json
{
  ""attitude_status"": ""believes"",
  ""truth_status"": ""true"",
  ""knowledge_status"": ""knows"",
  ""brief_explanation"": ""Mark believes the proposition, it is true, and his belief is based on reliable testimony from a trustworthy source, satisfying the conditions for knowledge.""
}
```",True,"{""attitude_status"": ""believes"", ""truth_status"": ""true"", ""knowledge_status"": ""knows"", ""brief_explanation"": ""Mark believes the proposition, it is true, and his belief is based on reliable testimony from a trustworthy source, satisfying the conditions for knowledge.""}","Mark believes the proposition, it is true, and his belief is based on reliable testimony from a trustworthy source, satisfying the conditions for knowledge.","{""attitude_status"": true, ""truth_status"": true, ""knowledge_status"": true}",3.0,3.0,1.0
btk_008_false_belief_with_irrelevant_evidence,belief_acceptance_knowledge,belief_truth_knowledge,,,claude-haiku-4-5,2026-07-05T20:12:20.271939+00:00,"{""attitude_status"": ""believes"", ""truth_status"": ""false"", ""knowledge_status"": ""does_not_know""}",,1.187,"```json
{
  ""attitude_status"": ""believes"",
  ""truth_status"": ""false"",
  ""knowledge_status"": ""does_not_know"",
  ""brief_explanation"": ""Jane believes the proposition without evidence, but it is false, so she lacks knowledge despite her belief.""
}
```",True,"{""attitude_status"": ""believes"", ""truth_status"": ""false"", ""knowledge_status"": ""does_not_know"", ""brief_explanation"": ""Jane believes the proposition without evidence, but it is false, so she lacks knowledge despite her belief.""}","Jane believes the proposition without evidence, but it is false, so she lacks knowledge despite her belief.","{""attitude_status"": true, ""truth_status"": true, ""knowledge_status"": true}",3.0,3.0,1.0
btk_009_rejection_of_true_proposition,belief_acceptance_knowledge,belief_truth_knowledge,,,claude-haiku-4-5,2026-07-05T20:12:21.458654+00:00,"{""attitude_status"": ""does_not_believe"", ""truth_status"": ""true"", ""knowledge_status"": ""does_not_know""}",,1.104,"```json
{
  ""attitude_status"": ""does_not_believe"",
  ""truth_status"": ""true"",
  ""knowledge_status"": ""does_not_know"",
  ""brief_explanation"": ""Noah rejects the proposition despite having good reasons supporting it and despite it being true, so he does not believe it and therefore does not know it.""
}
```",True,"{""attitude_status"": ""does_not_believe"", ""truth_status"": ""true"", ""knowledge_status"": ""does_not_know"", ""brief_explanation"": ""Noah rejects the proposition despite having good reasons supporting it and despite it being true, so he does not believe it and therefore does not know it.""}","Noah rejects the proposition despite having good reasons supporting it and despite it being true, so he does not believe it and therefore does not know it.","{""attitude_status"": true, ""truth_status"": true, ""knowledge_status"": true}",3.0,3.0,1.0
btk_010_indeterminate_attitude_true_target,belief_acceptance_knowledge,belief_truth_knowledge,,,claude-haiku-4-5,2026-07-05T20:12:22.563087+00:00,"{""attitude_status"": ""indeterminate"", ""truth_status"": ""true"", ""knowledge_status"": ""indeterminate""}",,1.23,"```json
{
  ""attitude_status"": ""indeterminate"",
  ""truth_status"": ""true"",
  ""knowledge_status"": ""indeterminate"",
  ""brief_explanation"": ""The scenario does not specify whether Liam has noticed today's weather, so his belief about the current rain is indeterminate; the proposition itself is true since it is raining today.""
}
```",True,"{""attitude_status"": ""indeterminate"", ""truth_status"": ""true"", ""knowledge_status"": ""indeterminate"", ""brief_explanation"": ""The scenario does not specify whether Liam has noticed today's weather, so his belief about the current rain is indeterminate; the proposition itself is true since it is raining today.""}","The scenario does not specify whether Liam has noticed today's weather, so his belief about the current rain is indeterminate; the proposition itself is true since it is raining today.","{""attitude_status"": true, ""truth_status"": true, ""knowledge_status"": true}",3.0,3.0,1.0
