case_id,module,schema_family,variant_id,difficulty,model,timestamp,expected_json,error,latency_s,raw_response,parsed_ok,predicted_json,brief_explanation,field_results_json,points,max_points,score
el_001,epistemic_luck,knowledge_control,,easy,claude-opus-4-8,2026-07-08T21:56:43.167199+00:00,"{""justification_status"": ""justified"", ""knowledge_status"": ""knows"", ""luck_status"": ""no_epistemic_luck"", ""luck_type"": ""none""}",,2.526,"{
  ""justification_status"": ""justified"",
  ""knowledge_status"": ""knows"",
  ""luck_status"": ""no_epistemic_luck"",
  ""luck_type"": ""none"",
  ""brief_explanation"": ""Alfred's belief is based on recent testimony from a reliable friend who just left the shop, the proposition is true, and there is no lucky or accidental connection defeating knowledge.""
}",True,"{""justification_status"": ""justified"", ""knowledge_status"": ""knows"", ""luck_status"": ""no_epistemic_luck"", ""luck_type"": ""none"", ""brief_explanation"": ""Alfred's belief is based on recent testimony from a reliable friend who just left the shop, the proposition is true, and there is no lucky or accidental connection defeating knowledge.""}","Alfred's belief is based on recent testimony from a reliable friend who just left the shop, the proposition is true, and there is no lucky or accidental connection defeating knowledge.","{""justification_status"": true, ""knowledge_status"": true, ""luck_status"": true, ""luck_type"": true}",6.0,6.0,1.0
el_002,epistemic_luck,knowledge_control,,easy,claude-opus-4-8,2026-07-08T21:56:45.693702+00:00,"{""justification_status"": ""justified"", ""knowledge_status"": ""knows"", ""luck_status"": ""no_epistemic_luck"", ""luck_type"": ""none""}",,2.688,"{
  ""justification_status"": ""justified"",
  ""knowledge_status"": ""knows"",
  ""luck_status"": ""no_epistemic_luck"",
  ""luck_type"": ""none"",
  ""brief_explanation"": ""Lea's belief is based on directly observing Luke drive and own the car, a reliable process yielding a true belief with no defeating luck.""
}",True,"{""justification_status"": ""justified"", ""knowledge_status"": ""knows"", ""luck_status"": ""no_epistemic_luck"", ""luck_type"": ""none"", ""brief_explanation"": ""Lea's belief is based on directly observing Luke drive and own the car, a reliable process yielding a true belief with no defeating luck.""}","Lea's belief is based on directly observing Luke drive and own the car, a reliable process yielding a true belief with no defeating luck.","{""justification_status"": true, ""knowledge_status"": true, ""luck_status"": true, ""luck_type"": true}",6.0,6.0,1.0
el_003,epistemic_luck,knowledge_control,,easy,claude-opus-4-8,2026-07-08T21:56:48.381776+00:00,"{""justification_status"": ""justified"", ""knowledge_status"": ""knows"", ""luck_status"": ""no_epistemic_luck"", ""luck_type"": ""none""}",,2.383,"{
  ""justification_status"": ""justified"",
  ""knowledge_status"": ""knows"",
  ""luck_status"": ""no_epistemic_luck"",
  ""luck_type"": ""none"",
  ""brief_explanation"": ""Nina relies on a reliable, automatically updated scheduling system that correctly shows the room reserved, so her true belief is justified knowledge with no defeating luck.""
}",True,"{""justification_status"": ""justified"", ""knowledge_status"": ""knows"", ""luck_status"": ""no_epistemic_luck"", ""luck_type"": ""none"", ""brief_explanation"": ""Nina relies on a reliable, automatically updated scheduling system that correctly shows the room reserved, so her true belief is justified knowledge with no defeating luck.""}","Nina relies on a reliable, automatically updated scheduling system that correctly shows the room reserved, so her true belief is justified knowledge with no defeating luck.","{""justification_status"": true, ""knowledge_status"": true, ""luck_status"": true, ""luck_type"": true}",6.0,6.0,1.0
el_004,epistemic_luck,knowledge_control,,easy,claude-opus-4-8,2026-07-08T21:56:50.764935+00:00,"{""justification_status"": ""justified"", ""knowledge_status"": ""knows"", ""luck_status"": ""no_epistemic_luck"", ""luck_type"": ""none""}",,2.424,"{
  ""justification_status"": ""justified"",
  ""knowledge_status"": ""knows"",
  ""luck_status"": ""no_epistemic_luck"",
  ""luck_type"": ""none"",
  ""brief_explanation"": ""Rosa's belief is formed via a normally-functioning scanner and database, corroborated by the label, and is true, constituting knowledge without any knowledge-defeating luck.""
}",True,"{""justification_status"": ""justified"", ""knowledge_status"": ""knows"", ""luck_status"": ""no_epistemic_luck"", ""luck_type"": ""none"", ""brief_explanation"": ""Rosa's belief is formed via a normally-functioning scanner and database, corroborated by the label, and is true, constituting knowledge without any knowledge-defeating luck.""}","Rosa's belief is formed via a normally-functioning scanner and database, corroborated by the label, and is true, constituting knowledge without any knowledge-defeating luck.","{""justification_status"": true, ""knowledge_status"": true, ""luck_status"": true, ""luck_type"": true}",6.0,6.0,1.0
el_005,epistemic_luck,knowledge_control,,easy,claude-opus-4-8,2026-07-08T21:56:53.188761+00:00,"{""justification_status"": ""justified"", ""knowledge_status"": ""knows"", ""luck_status"": ""no_epistemic_luck"", ""luck_type"": ""none""}",,2.718,"{
  ""justification_status"": ""justified"",
  ""knowledge_status"": ""knows"",
  ""luck_status"": ""no_epistemic_luck"",
  ""luck_type"": ""none"",
  ""brief_explanation"": ""Marcus uses two reliable sources (same-day website and direct confirmation from the front desk) to form a true belief, and the pool is in fact open, so this is ordinary knowledge with no luck.""
}",True,"{""justification_status"": ""justified"", ""knowledge_status"": ""knows"", ""luck_status"": ""no_epistemic_luck"", ""luck_type"": ""none"", ""brief_explanation"": ""Marcus uses two reliable sources (same-day website and direct confirmation from the front desk) to form a true belief, and the pool is in fact open, so this is ordinary knowledge with no luck.""}","Marcus uses two reliable sources (same-day website and direct confirmation from the front desk) to form a true belief, and the pool is in fact open, so this is ordinary knowledge with no luck.","{""justification_status"": true, ""knowledge_status"": true, ""luck_status"": true, ""luck_type"": true}",6.0,6.0,1.0
el_006,epistemic_luck,lucky_guess,,easy,claude-opus-4-8,2026-07-08T21:56:55.907170+00:00,"{""justification_status"": ""unjustified"", ""knowledge_status"": ""does_not_know"", ""luck_status"": ""epistemic_luck_present"", ""luck_type"": ""lucky_guess""}",,2.256,"{
  ""justification_status"": ""unjustified"",
  ""knowledge_status"": ""does_not_know"",
  ""luck_status"": ""epistemic_luck_present"",
  ""luck_type"": ""lucky_guess"",
  ""brief_explanation"": ""William believes the shop is open based only on hope with no evidence, so his true belief is merely a lucky guess.""
}",True,"{""justification_status"": ""unjustified"", ""knowledge_status"": ""does_not_know"", ""luck_status"": ""epistemic_luck_present"", ""luck_type"": ""lucky_guess"", ""brief_explanation"": ""William believes the shop is open based only on hope with no evidence, so his true belief is merely a lucky guess.""}","William believes the shop is open based only on hope with no evidence, so his true belief is merely a lucky guess.","{""justification_status"": true, ""knowledge_status"": true, ""luck_status"": true, ""luck_type"": true}",6.0,6.0,1.0
el_007,epistemic_luck,lucky_guess,,easy,claude-opus-4-8,2026-07-08T21:56:58.163798+00:00,"{""justification_status"": ""unjustified"", ""knowledge_status"": ""does_not_know"", ""luck_status"": ""epistemic_luck_present"", ""luck_type"": ""lucky_guess""}",,3.804,"{
  ""justification_status"": ""unjustified"",
  ""knowledge_status"": ""does_not_know"",
  ""luck_status"": ""epistemic_luck_present"",
  ""luck_type"": ""lucky_guess"",
  ""brief_explanation"": ""Michelle's belief is true but formed on a whim with no justification, making it a lucky guess.""
}",True,"{""justification_status"": ""unjustified"", ""knowledge_status"": ""does_not_know"", ""luck_status"": ""epistemic_luck_present"", ""luck_type"": ""lucky_guess"", ""brief_explanation"": ""Michelle's belief is true but formed on a whim with no justification, making it a lucky guess.""}","Michelle's belief is true but formed on a whim with no justification, making it a lucky guess.","{""justification_status"": true, ""knowledge_status"": true, ""luck_status"": true, ""luck_type"": true}",6.0,6.0,1.0
el_008,epistemic_luck,lucky_guess,,easy,claude-opus-4-8,2026-07-08T21:57:01.967736+00:00,"{""justification_status"": ""unjustified"", ""knowledge_status"": ""does_not_know"", ""luck_status"": ""epistemic_luck_present"", ""luck_type"": ""lucky_guess""}",,2.341,"{
  ""justification_status"": ""unjustified"",
  ""knowledge_status"": ""does_not_know"",
  ""luck_status"": ""epistemic_luck_present"",
  ""luck_type"": ""lucky_guess"",
  ""brief_explanation"": ""Omar randomly decided to believe the package was delivered without any evidence, and it happened to be true, making it a lucky guess.""
}",True,"{""justification_status"": ""unjustified"", ""knowledge_status"": ""does_not_know"", ""luck_status"": ""epistemic_luck_present"", ""luck_type"": ""lucky_guess"", ""brief_explanation"": ""Omar randomly decided to believe the package was delivered without any evidence, and it happened to be true, making it a lucky guess.""}","Omar randomly decided to believe the package was delivered without any evidence, and it happened to be true, making it a lucky guess.","{""justification_status"": true, ""knowledge_status"": true, ""luck_status"": true, ""luck_type"": true}",6.0,6.0,1.0
el_009,epistemic_luck,intervening_luck,,medium,claude-opus-4-8,2026-07-08T21:57:04.309290+00:00,"{""justification_status"": ""justified"", ""knowledge_status"": ""does_not_know"", ""luck_status"": ""epistemic_luck_present"", ""luck_type"": ""intervening_luck""}",,2.372,"{
  ""justification_status"": ""justified"",
  ""knowledge_status"": ""does_not_know"",
  ""luck_status"": ""epistemic_luck_present"",
  ""luck_type"": ""intervening_luck"",
  ""brief_explanation"": ""Liam's belief is true only because Priya coincidentally owns a real signed copy, not because of his evidence (a forged signature), making it a Gettier-style intervening luck case.""
}",True,"{""justification_status"": ""justified"", ""knowledge_status"": ""does_not_know"", ""luck_status"": ""epistemic_luck_present"", ""luck_type"": ""intervening_luck"", ""brief_explanation"": ""Liam's belief is true only because Priya coincidentally owns a real signed copy, not because of his evidence (a forged signature), making it a Gettier-style intervening luck case.""}","Liam's belief is true only because Priya coincidentally owns a real signed copy, not because of his evidence (a forged signature), making it a Gettier-style intervening luck case.","{""justification_status"": true, ""knowledge_status"": true, ""luck_status"": true, ""luck_type"": true}",6.0,6.0,1.0
el_010,epistemic_luck,intervening_luck,,medium,claude-opus-4-8,2026-07-08T21:57:06.681522+00:00,"{""justification_status"": ""justified"", ""knowledge_status"": ""does_not_know"", ""luck_status"": ""epistemic_luck_present"", ""luck_type"": ""intervening_luck""}",,2.688,"{
  ""justification_status"": ""justified"",
  ""knowledge_status"": ""does_not_know"",
  ""luck_status"": ""epistemic_luck_present"",
  ""luck_type"": ""intervening_luck"",
  ""brief_explanation"": ""Ava's belief is true only because a real deer happens to be hidden elsewhere, while her evidence tracks a statue, so her true belief rests on a lucky disconnect between her reason and the truth-maker.""
}",True,"{""justification_status"": ""justified"", ""knowledge_status"": ""does_not_know"", ""luck_status"": ""epistemic_luck_present"", ""luck_type"": ""intervening_luck"", ""brief_explanation"": ""Ava's belief is true only because a real deer happens to be hidden elsewhere, while her evidence tracks a statue, so her true belief rests on a lucky disconnect between her reason and the truth-maker.""}","Ava's belief is true only because a real deer happens to be hidden elsewhere, while her evidence tracks a statue, so her true belief rests on a lucky disconnect between her reason and the truth-maker.","{""justification_status"": true, ""knowledge_status"": true, ""luck_status"": true, ""luck_type"": true}",6.0,6.0,1.0
el_011,epistemic_luck,intervening_luck,,medium,claude-opus-4-8,2026-07-08T21:57:09.369434+00:00,"{""justification_status"": ""justified"", ""knowledge_status"": ""does_not_know"", ""luck_status"": ""epistemic_luck_present"", ""luck_type"": ""intervening_luck""}",,2.436,"{
  ""justification_status"": ""justified"",
  ""knowledge_status"": ""does_not_know"",
  ""luck_status"": ""epistemic_luck_present"",
  ""luck_type"": ""intervening_luck"",
  ""brief_explanation"": ""Julian's belief is true only because an unrelated shopper happens to have an apple, not because of the Robert evidence his belief was based on.""
}",True,"{""justification_status"": ""justified"", ""knowledge_status"": ""does_not_know"", ""luck_status"": ""epistemic_luck_present"", ""luck_type"": ""intervening_luck"", ""brief_explanation"": ""Julian's belief is true only because an unrelated shopper happens to have an apple, not because of the Robert evidence his belief was based on.""}","Julian's belief is true only because an unrelated shopper happens to have an apple, not because of the Robert evidence his belief was based on.","{""justification_status"": true, ""knowledge_status"": true, ""luck_status"": true, ""luck_type"": true}",6.0,6.0,1.0
el_012,epistemic_luck,intervening_luck,,medium,claude-opus-4-8,2026-07-08T21:57:11.805188+00:00,"{""justification_status"": ""justified"", ""knowledge_status"": ""does_not_know"", ""luck_status"": ""epistemic_luck_present"", ""luck_type"": ""intervening_luck""}",,5.32,"{
  ""justification_status"": ""justified"",
  ""knowledge_status"": ""does_not_know"",
  ""luck_status"": ""epistemic_luck_present"",
  ""luck_type"": ""intervening_luck"",
  ""brief_explanation"": ""Vicky's belief is true only because a hidden real officer happens to be present, not because of the actor she actually sees, making this a classic Gettier-style intervening luck case.""
}",True,"{""justification_status"": ""justified"", ""knowledge_status"": ""does_not_know"", ""luck_status"": ""epistemic_luck_present"", ""luck_type"": ""intervening_luck"", ""brief_explanation"": ""Vicky's belief is true only because a hidden real officer happens to be present, not because of the actor she actually sees, making this a classic Gettier-style intervening luck case.""}","Vicky's belief is true only because a hidden real officer happens to be present, not because of the actor she actually sees, making this a classic Gettier-style intervening luck case.","{""justification_status"": true, ""knowledge_status"": true, ""luck_status"": true, ""luck_type"": true}",6.0,6.0,1.0
el_013,epistemic_luck,intervening_luck,,medium,claude-opus-4-8,2026-07-08T21:57:17.125356+00:00,"{""justification_status"": ""justified"", ""knowledge_status"": ""does_not_know"", ""luck_status"": ""epistemic_luck_present"", ""luck_type"": ""intervening_luck""}",,3.093,"{
  ""justification_status"": ""justified"",
  ""knowledge_status"": ""does_not_know"",
  ""luck_status"": ""epistemic_luck_present"",
  ""luck_type"": ""intervening_luck"",
  ""brief_explanation"": ""Chris's belief is true because the manager owns a real parrot at home, but his evidence (a mechanical decoy) is disconnected from that truth-maker, making the true belief lucky.""
}",True,"{""justification_status"": ""justified"", ""knowledge_status"": ""does_not_know"", ""luck_status"": ""epistemic_luck_present"", ""luck_type"": ""intervening_luck"", ""brief_explanation"": ""Chris's belief is true because the manager owns a real parrot at home, but his evidence (a mechanical decoy) is disconnected from that truth-maker, making the true belief lucky.""}","Chris's belief is true because the manager owns a real parrot at home, but his evidence (a mechanical decoy) is disconnected from that truth-maker, making the true belief lucky.","{""justification_status"": true, ""knowledge_status"": true, ""luck_status"": true, ""luck_type"": true}",6.0,6.0,1.0
el_014,epistemic_luck,intervening_luck,,medium,claude-opus-4-8,2026-07-08T21:57:20.218162+00:00,"{""justification_status"": ""justified"", ""knowledge_status"": ""does_not_know"", ""luck_status"": ""epistemic_luck_present"", ""luck_type"": ""intervening_luck""}",,2.269,"{
  ""justification_status"": ""justified"",
  ""knowledge_status"": ""does_not_know"",
  ""luck_status"": ""epistemic_luck_present"",
  ""luck_type"": ""intervening_luck"",
  ""brief_explanation"": ""Kimmy's belief is true only because a real beaver happens to be elsewhere in the lake, while her evidence (a decoy) is a wrong truth-maker disconnected from the actual fact.""
}",True,"{""justification_status"": ""justified"", ""knowledge_status"": ""does_not_know"", ""luck_status"": ""epistemic_luck_present"", ""luck_type"": ""intervening_luck"", ""brief_explanation"": ""Kimmy's belief is true only because a real beaver happens to be elsewhere in the lake, while her evidence (a decoy) is a wrong truth-maker disconnected from the actual fact.""}","Kimmy's belief is true only because a real beaver happens to be elsewhere in the lake, while her evidence (a decoy) is a wrong truth-maker disconnected from the actual fact.","{""justification_status"": true, ""knowledge_status"": true, ""luck_status"": true, ""luck_type"": true}",6.0,6.0,1.0
