case_id,module,schema_family,variant_id,difficulty,model,timestamp,expected_json,error,latency_s,raw_response,parsed_ok,predicted_json,brief_explanation,field_results_json,points,max_points,score
el_001,epistemic_luck,knowledge_control,,easy,gpt-5-mini,2026-07-08T21:41:52.876674+00:00,"{""justification_status"": ""justified"", ""knowledge_status"": ""knows"", ""luck_status"": ""no_epistemic_luck"", ""luck_type"": ""none""}",,5.605,"{
  ""justification_status"": ""justified"",
  ""knowledge_status"": ""knows"",
  ""luck_status"": ""no_epistemic_luck"",
  ""luck_type"": ""none"",
  ""brief_explanation"": ""Alfred has adequate justification based on recent, normally reliable testimony, the proposition is true, and nothing in the scenario indicates knowledge-defeating luck so he knows it.""
}",True,"{""justification_status"": ""justified"", ""knowledge_status"": ""knows"", ""luck_status"": ""no_epistemic_luck"", ""luck_type"": ""none"", ""brief_explanation"": ""Alfred has adequate justification based on recent, normally reliable testimony, the proposition is true, and nothing in the scenario indicates knowledge-defeating luck so he knows it.""}","Alfred has adequate justification based on recent, normally reliable testimony, the proposition is true, and nothing in the scenario indicates knowledge-defeating luck so he knows it.","{""justification_status"": true, ""knowledge_status"": true, ""luck_status"": true, ""luck_type"": true}",6.0,6.0,1.0
el_002,epistemic_luck,knowledge_control,,easy,gpt-5-mini,2026-07-08T21:41:58.481478+00:00,"{""justification_status"": ""justified"", ""knowledge_status"": ""knows"", ""luck_status"": ""no_epistemic_luck"", ""luck_type"": ""none""}",,9.334,"{
  ""justification_status"": ""justified"",
  ""knowledge_status"": ""knows"",
  ""luck_status"": ""no_epistemic_luck"",
  ""luck_type"": ""none"",
  ""brief_explanation"": ""Lea directly observed Luke driving his own car and heard him renew its registration, providing adequate evidence for a true belief with no defeating epistemic luck, so she knows he has a car.""
}",True,"{""justification_status"": ""justified"", ""knowledge_status"": ""knows"", ""luck_status"": ""no_epistemic_luck"", ""luck_type"": ""none"", ""brief_explanation"": ""Lea directly observed Luke driving his own car and heard him renew its registration, providing adequate evidence for a true belief with no defeating epistemic luck, so she knows he has a car.""}","Lea directly observed Luke driving his own car and heard him renew its registration, providing adequate evidence for a true belief with no defeating epistemic luck, so she knows he has a car.","{""justification_status"": true, ""knowledge_status"": true, ""luck_status"": true, ""luck_type"": true}",6.0,6.0,1.0
el_003,epistemic_luck,knowledge_control,,easy,gpt-5-mini,2026-07-08T21:42:07.815965+00:00,"{""justification_status"": ""justified"", ""knowledge_status"": ""knows"", ""luck_status"": ""no_epistemic_luck"", ""luck_type"": ""none""}",,5.439,"{
  ""justification_status"": ""justified"",
  ""knowledge_status"": ""knows"",
  ""luck_status"": ""no_epistemic_luck"",
  ""luck_type"": ""none"",
  ""brief_explanation"": ""Nina's belief is supported by the normally accurate, automatically updated scheduling system with no reported errors, the proposition is true, and no knowledge-defeating luck is present.""
}",True,"{""justification_status"": ""justified"", ""knowledge_status"": ""knows"", ""luck_status"": ""no_epistemic_luck"", ""luck_type"": ""none"", ""brief_explanation"": ""Nina's belief is supported by the normally accurate, automatically updated scheduling system with no reported errors, the proposition is true, and no knowledge-defeating luck is present.""}","Nina's belief is supported by the normally accurate, automatically updated scheduling system with no reported errors, the proposition is true, and no knowledge-defeating luck is present.","{""justification_status"": true, ""knowledge_status"": true, ""luck_status"": true, ""luck_type"": true}",6.0,6.0,1.0
el_004,epistemic_luck,knowledge_control,,easy,gpt-5-mini,2026-07-08T21:42:13.255204+00:00,"{""justification_status"": ""justified"", ""knowledge_status"": ""knows"", ""luck_status"": ""no_epistemic_luck"", ""luck_type"": ""none""}",,4.411,"{
  ""justification_status"": ""justified"",
  ""knowledge_status"": ""knows"",
  ""luck_status"": ""no_epistemic_luck"",
  ""luck_type"": ""none"",
  ""brief_explanation"": ""The functioning scanner, matching vial label, and working database provide adequate support for Rosa's true belief, so she knows and no defeating epistemic luck is present.""
}",True,"{""justification_status"": ""justified"", ""knowledge_status"": ""knows"", ""luck_status"": ""no_epistemic_luck"", ""luck_type"": ""none"", ""brief_explanation"": ""The functioning scanner, matching vial label, and working database provide adequate support for Rosa's true belief, so she knows and no defeating epistemic luck is present.""}","The functioning scanner, matching vial label, and working database provide adequate support for Rosa's true belief, so she knows and no defeating epistemic luck is present.","{""justification_status"": true, ""knowledge_status"": true, ""luck_status"": true, ""luck_type"": true}",6.0,6.0,1.0
el_005,epistemic_luck,knowledge_control,,easy,gpt-5-mini,2026-07-08T21:42:17.665864+00:00,"{""justification_status"": ""justified"", ""knowledge_status"": ""knows"", ""luck_status"": ""no_epistemic_luck"", ""luck_type"": ""none""}",,10.855,"{
  ""justification_status"": ""justified: The subject has adequate epistemic support for believing the target proposition."",
  ""knowledge_status"": ""knows: The subject knows the target proposition."",
  ""luck_status"": ""no_epistemic_luck: No relevant knowledge-defeating epistemic luck is present in the case."",
  ""luck_type"": ""none: No relevant knowledge-defeating epistemic luck is present."",
  ""brief_explanation"": ""Marcus's belief that the pool is open is based on timely official sources (the city's same-day website and a front-desk confirmation), yielding a justified true belief that qualifies as knowledge with no defeating epistemic luck.""
}",True,"{""justification_status"": ""justified: The subject has adequate epistemic support for believing the target proposition."", ""knowledge_status"": ""knows: The subject knows the target proposition."", ""luck_status"": ""no_epistemic_luck: No relevant knowledge-defeating epistemic luck is present in the case."", ""luck_type"": ""none: No relevant knowledge-defeating epistemic luck is present."", ""brief_explanation"": ""Marcus's belief that the pool is open is based on timely official sources (the city's same-day website and a front-desk confirmation), yielding a justified true belief that qualifies as knowledge with no defeating epistemic luck.""}","Marcus's belief that the pool is open is based on timely official sources (the city's same-day website and a front-desk confirmation), yielding a justified true belief that qualifies as knowledge with no defeating epistemic luck.","{""justification_status"": false, ""knowledge_status"": false, ""luck_status"": false, ""luck_type"": false}",0.0,6.0,0.0
el_006,epistemic_luck,lucky_guess,,easy,gpt-5-mini,2026-07-08T21:42:28.521159+00:00,"{""justification_status"": ""unjustified"", ""knowledge_status"": ""does_not_know"", ""luck_status"": ""epistemic_luck_present"", ""luck_type"": ""lucky_guess""}",,6.994,"{
  ""justification_status"": ""unjustified"",
  ""knowledge_status"": ""does_not_know"",
  ""luck_status"": ""epistemic_luck_present"",
  ""luck_type"": ""lucky_guess"",
  ""brief_explanation"": ""William's belief is unjustified because it rests on hope with no evidence, the coffee shop's being open is a fortunate coincidence, and therefore he does not know (a lucky guess).""
}",True,"{""justification_status"": ""unjustified"", ""knowledge_status"": ""does_not_know"", ""luck_status"": ""epistemic_luck_present"", ""luck_type"": ""lucky_guess"", ""brief_explanation"": ""William's belief is unjustified because it rests on hope with no evidence, the coffee shop's being open is a fortunate coincidence, and therefore he does not know (a lucky guess).""}","William's belief is unjustified because it rests on hope with no evidence, the coffee shop's being open is a fortunate coincidence, and therefore he does not know (a lucky guess).","{""justification_status"": true, ""knowledge_status"": true, ""luck_status"": true, ""luck_type"": true}",6.0,6.0,1.0
el_007,epistemic_luck,lucky_guess,,easy,gpt-5-mini,2026-07-08T21:42:35.515363+00:00,"{""justification_status"": ""unjustified"", ""knowledge_status"": ""does_not_know"", ""luck_status"": ""epistemic_luck_present"", ""luck_type"": ""lucky_guess""}",,5.296,"{
  ""justification_status"": ""unjustified"",
  ""knowledge_status"": ""does_not_know"",
  ""luck_status"": ""epistemic_luck_present"",
  ""luck_type"": ""lucky_guess"",
  ""brief_explanation"": ""Michelle's belief was a whim without evidential support and happened to be true by chance, so it was a lucky guess and not knowledge.""
}",True,"{""justification_status"": ""unjustified"", ""knowledge_status"": ""does_not_know"", ""luck_status"": ""epistemic_luck_present"", ""luck_type"": ""lucky_guess"", ""brief_explanation"": ""Michelle's belief was a whim without evidential support and happened to be true by chance, so it was a lucky guess and not knowledge.""}","Michelle's belief was a whim without evidential support and happened to be true by chance, so it was a lucky guess and not knowledge.","{""justification_status"": true, ""knowledge_status"": true, ""luck_status"": true, ""luck_type"": true}",6.0,6.0,1.0
el_008,epistemic_luck,lucky_guess,,easy,gpt-5-mini,2026-07-08T21:42:40.811795+00:00,"{""justification_status"": ""unjustified"", ""knowledge_status"": ""does_not_know"", ""luck_status"": ""epistemic_luck_present"", ""luck_type"": ""lucky_guess""}",,4.888,"{
  ""justification_status"": ""unjustified"",
  ""knowledge_status"": ""does_not_know"",
  ""luck_status"": ""epistemic_luck_present"",
  ""luck_type"": ""lucky_guess"",
  ""brief_explanation"": ""Omar's true belief was formed at random with no supporting evidence, so it is unjustified and not knowledge, and it is a lucky guess.""
}",True,"{""justification_status"": ""unjustified"", ""knowledge_status"": ""does_not_know"", ""luck_status"": ""epistemic_luck_present"", ""luck_type"": ""lucky_guess"", ""brief_explanation"": ""Omar's true belief was formed at random with no supporting evidence, so it is unjustified and not knowledge, and it is a lucky guess.""}","Omar's true belief was formed at random with no supporting evidence, so it is unjustified and not knowledge, and it is a lucky guess.","{""justification_status"": true, ""knowledge_status"": true, ""luck_status"": true, ""luck_type"": true}",6.0,6.0,1.0
el_009,epistemic_luck,intervening_luck,,medium,gpt-5-mini,2026-07-08T21:42:45.699573+00:00,"{""justification_status"": ""justified"", ""knowledge_status"": ""does_not_know"", ""luck_status"": ""epistemic_luck_present"", ""luck_type"": ""intervening_luck""}",,11.206,"{
  ""justification_status"": ""justified"",
  ""knowledge_status"": ""does_not_know"",
  ""luck_status"": ""epistemic_luck_present"",
  ""luck_type"": ""intervening_luck"",
  ""brief_explanation"": ""Liam had reasonable perceptual justification from seeing an apparently signed book, but the belief is true only by a lucky coincidence (Priya's separate signed copy) while his evidence was misleading (a forged signature), so he does not know.""
}",True,"{""justification_status"": ""justified"", ""knowledge_status"": ""does_not_know"", ""luck_status"": ""epistemic_luck_present"", ""luck_type"": ""intervening_luck"", ""brief_explanation"": ""Liam had reasonable perceptual justification from seeing an apparently signed book, but the belief is true only by a lucky coincidence (Priya's separate signed copy) while his evidence was misleading (a forged signature), so he does not know.""}","Liam had reasonable perceptual justification from seeing an apparently signed book, but the belief is true only by a lucky coincidence (Priya's separate signed copy) while his evidence was misleading (a forged signature), so he does not know.","{""justification_status"": true, ""knowledge_status"": true, ""luck_status"": true, ""luck_type"": true}",6.0,6.0,1.0
el_010,epistemic_luck,intervening_luck,,medium,gpt-5-mini,2026-07-08T21:42:56.905675+00:00,"{""justification_status"": ""justified"", ""knowledge_status"": ""does_not_know"", ""luck_status"": ""epistemic_luck_present"", ""luck_type"": ""intervening_luck""}",,9.333,"{
  ""justification_status"": ""justified"",
  ""knowledge_status"": ""does_not_know"",
  ""luck_status"": ""epistemic_luck_present"",
  ""luck_type"": ""intervening_luck"",
  ""brief_explanation"": ""Ava has perceptual justification for believing there's a deer, but she does not know because her true belief is true by a coincidental luck (she mistakes a statue for a deer while an unseen real deer happens to be in the park).""
}",True,"{""justification_status"": ""justified"", ""knowledge_status"": ""does_not_know"", ""luck_status"": ""epistemic_luck_present"", ""luck_type"": ""intervening_luck"", ""brief_explanation"": ""Ava has perceptual justification for believing there's a deer, but she does not know because her true belief is true by a coincidental luck (she mistakes a statue for a deer while an unseen real deer happens to be in the park).""}","Ava has perceptual justification for believing there's a deer, but she does not know because her true belief is true by a coincidental luck (she mistakes a statue for a deer while an unseen real deer happens to be in the park).","{""justification_status"": true, ""knowledge_status"": true, ""luck_status"": true, ""luck_type"": true}",6.0,6.0,1.0
