case_id,module,schema_family,variant_id,difficulty,model,timestamp,expected_json,error,latency_s,raw_response,parsed_ok,predicted_json,brief_explanation,field_results_json,points,max_points,score
def_001_package_placebo,defeaters,placebo_control,,,gpt-4o-mini,2026-07-08T04:25:29.929495+00:00,"{""defeater_present"": ""no"", ""defeater_type"": ""none_placebo"", ""defeater_strength"": ""none"", ""support_relation"": ""no_impact"", ""belief_revision"": ""maintain_target_belief""}",,2.134,"{
  ""defeater_present"": ""no"",
  ""defeater_type"": ""none_placebo"",
  ""defeater_strength"": ""none"",
  ""support_relation"": ""no_impact"",
  ""belief_revision"": ""maintain_target_belief"",
  ""brief_explanation"": ""The new information about the truck's color does not affect the evidence supporting the belief that the package arrived.""
}",True,"{""defeater_present"": ""no"", ""defeater_type"": ""none_placebo"", ""defeater_strength"": ""none"", ""support_relation"": ""no_impact"", ""belief_revision"": ""maintain_target_belief"", ""brief_explanation"": ""The new information about the truck's color does not affect the evidence supporting the belief that the package arrived.""}",The new information about the truck's color does not affect the evidence supporting the belief that the package arrived.,"{""defeater_present"": true, ""defeater_type"": true, ""defeater_strength"": true, ""support_relation"": true, ""belief_revision"": true, ""strength_support_coherence"": true, ""support_revision_coherence"": true}",7.0,7.0,1.0
def_002_package_rebutting,defeaters,rebutting,,,gpt-4o-mini,2026-07-08T04:25:32.063227+00:00,"{""defeater_present"": ""yes"", ""defeater_type"": ""rebutting_defeater"", ""defeater_strength"": ""strong"", ""support_relation"": ""negation_better_supported"", ""belief_revision"": ""believe_negation""}",,1.887,"{
  ""defeater_present"": ""yes"",
  ""defeater_type"": ""rebutting_defeater"",
  ""defeater_strength"": ""strong"",
  ""support_relation"": ""negation_better_supported"",
  ""belief_revision"": ""believe_negation"",
  ""brief_explanation"": ""The new information directly contradicts the initial belief that the package arrived.""
}",True,"{""defeater_present"": ""yes"", ""defeater_type"": ""rebutting_defeater"", ""defeater_strength"": ""strong"", ""support_relation"": ""negation_better_supported"", ""belief_revision"": ""believe_negation"", ""brief_explanation"": ""The new information directly contradicts the initial belief that the package arrived.""}",The new information directly contradicts the initial belief that the package arrived.,"{""defeater_present"": true, ""defeater_type"": true, ""defeater_strength"": true, ""support_relation"": true, ""belief_revision"": true, ""strength_support_coherence"": true, ""support_revision_coherence"": true}",7.0,7.0,1.0
def_003_package_undercutting,defeaters,undercutting,,,gpt-4o-mini,2026-07-08T04:25:33.950738+00:00,"{""defeater_present"": ""yes"", ""defeater_type"": ""undercutting_defeater"", ""defeater_strength"": ""moderate"", ""support_relation"": ""equal_support"", ""belief_revision"": ""suspend_judgment""}",,2.692,"{
  ""defeater_present"": ""yes"",
  ""defeater_type"": ""rebutting_defeater"",
  ""defeater_strength"": ""strong"",
  ""support_relation"": ""negation_better_supported"",
  ""belief_revision"": ""believe_negation"",
  ""brief_explanation"": ""The new information indicates that the tracking system is unreliable, providing strong evidence against the package having arrived.""
}",True,"{""defeater_present"": ""yes"", ""defeater_type"": ""rebutting_defeater"", ""defeater_strength"": ""strong"", ""support_relation"": ""negation_better_supported"", ""belief_revision"": ""believe_negation"", ""brief_explanation"": ""The new information indicates that the tracking system is unreliable, providing strong evidence against the package having arrived.""}","The new information indicates that the tracking system is unreliable, providing strong evidence against the package having arrived.","{""defeater_present"": true, ""defeater_type"": false, ""defeater_strength"": false, ""support_relation"": false, ""belief_revision"": false, ""strength_support_coherence"": true, ""support_revision_coherence"": true}",3.0,7.0,0.42857142857142855
def_004_dolphin_placebo,defeaters,placebo_control,,,gpt-4o-mini,2026-07-08T04:25:36.643265+00:00,"{""defeater_present"": ""no"", ""defeater_type"": ""none_placebo"", ""defeater_strength"": ""none"", ""support_relation"": ""no_impact"", ""belief_revision"": ""maintain_target_belief""}",,1.889,"{
  ""defeater_present"": ""no"",
  ""defeater_type"": ""none_placebo"",
  ""defeater_strength"": ""none"",
  ""support_relation"": ""no_impact"",
  ""belief_revision"": ""maintain_target_belief"",
  ""brief_explanation"": ""The presence of pelicans does not provide any evidence against the existence of a dolphin.""
}",True,"{""defeater_present"": ""no"", ""defeater_type"": ""none_placebo"", ""defeater_strength"": ""none"", ""support_relation"": ""no_impact"", ""belief_revision"": ""maintain_target_belief"", ""brief_explanation"": ""The presence of pelicans does not provide any evidence against the existence of a dolphin.""}",The presence of pelicans does not provide any evidence against the existence of a dolphin.,"{""defeater_present"": true, ""defeater_type"": true, ""defeater_strength"": true, ""support_relation"": true, ""belief_revision"": true, ""strength_support_coherence"": true, ""support_revision_coherence"": true}",7.0,7.0,1.0
def_005_dolphin_rebutting,defeaters,rebutting,,,gpt-4o-mini,2026-07-08T04:25:38.532872+00:00,"{""defeater_present"": ""yes"", ""defeater_type"": ""rebutting_defeater"", ""defeater_strength"": ""strong"", ""support_relation"": ""negation_better_supported"", ""belief_revision"": ""believe_negation""}",,1.995,"{
  ""defeater_present"": ""yes"",
  ""defeater_type"": ""rebutting_defeater"",
  ""defeater_strength"": ""strong"",
  ""support_relation"": ""negation_better_supported"",
  ""belief_revision"": ""believe_negation"",
  ""brief_explanation"": ""The marine biologist's reliable information directly contradicts Jerry's belief in the existence of a dolphin.""
}",True,"{""defeater_present"": ""yes"", ""defeater_type"": ""rebutting_defeater"", ""defeater_strength"": ""strong"", ""support_relation"": ""negation_better_supported"", ""belief_revision"": ""believe_negation"", ""brief_explanation"": ""The marine biologist's reliable information directly contradicts Jerry's belief in the existence of a dolphin.""}",The marine biologist's reliable information directly contradicts Jerry's belief in the existence of a dolphin.,"{""defeater_present"": true, ""defeater_type"": true, ""defeater_strength"": true, ""support_relation"": true, ""belief_revision"": true, ""strength_support_coherence"": true, ""support_revision_coherence"": true}",7.0,7.0,1.0
def_006_dolphin_higher_order,defeaters,higher_order,,,gpt-4o-mini,2026-07-08T04:25:40.527479+00:00,"{""defeater_present"": ""yes"", ""defeater_type"": ""higher_order_defeater"", ""defeater_strength"": ""moderate"", ""support_relation"": ""equal_support"", ""belief_revision"": ""suspend_judgment""}",,1.297,"{
  ""defeater_present"": ""yes"",
  ""defeater_type"": ""higher_order_defeater"",
  ""defeater_strength"": ""strong"",
  ""support_relation"": ""negation_better_supported"",
  ""belief_revision"": ""believe_negation"",
  ""brief_explanation"": ""The new information about potential hallucinations leads Jerry to doubt his perception, making not-p better supported.""
}",True,"{""defeater_present"": ""yes"", ""defeater_type"": ""higher_order_defeater"", ""defeater_strength"": ""strong"", ""support_relation"": ""negation_better_supported"", ""belief_revision"": ""believe_negation"", ""brief_explanation"": ""The new information about potential hallucinations leads Jerry to doubt his perception, making not-p better supported.""}","The new information about potential hallucinations leads Jerry to doubt his perception, making not-p better supported.","{""defeater_present"": true, ""defeater_type"": true, ""defeater_strength"": false, ""support_relation"": false, ""belief_revision"": false, ""strength_support_coherence"": true, ""support_revision_coherence"": true}",4.0,7.0,0.5714285714285714
def_007_burrito_placebo,defeaters,placebo_control,,,gpt-4o-mini,2026-07-08T04:25:41.824623+00:00,"{""defeater_present"": ""no"", ""defeater_type"": ""none_placebo"", ""defeater_strength"": ""none"", ""support_relation"": ""no_impact"", ""belief_revision"": ""maintain_target_belief""}",,1.556,"{
  ""defeater_present"": ""no"",
  ""defeater_type"": ""none_placebo"",
  ""defeater_strength"": ""none"",
  ""support_relation"": ""no_impact"",
  ""belief_revision"": ""maintain_target_belief"",
  ""brief_explanation"": ""The new information about the distance does not affect the belief that the burritos are giant.""
}",True,"{""defeater_present"": ""no"", ""defeater_type"": ""none_placebo"", ""defeater_strength"": ""none"", ""support_relation"": ""no_impact"", ""belief_revision"": ""maintain_target_belief"", ""brief_explanation"": ""The new information about the distance does not affect the belief that the burritos are giant.""}",The new information about the distance does not affect the belief that the burritos are giant.,"{""defeater_present"": true, ""defeater_type"": true, ""defeater_strength"": true, ""support_relation"": true, ""belief_revision"": true, ""strength_support_coherence"": true, ""support_revision_coherence"": true}",7.0,7.0,1.0
def_008_burrito_rebutting,defeaters,rebutting,,,gpt-4o-mini,2026-07-08T04:25:43.380826+00:00,"{""defeater_present"": ""yes"", ""defeater_type"": ""rebutting_defeater"", ""defeater_strength"": ""strong"", ""support_relation"": ""negation_better_supported"", ""belief_revision"": ""believe_negation""}",,1.409,"{
  ""defeater_present"": ""yes"",
  ""defeater_type"": ""rebutting_defeater"",
  ""defeater_strength"": ""strong"",
  ""support_relation"": ""negation_better_supported"",
  ""belief_revision"": ""believe_negation"",
  ""brief_explanation"": ""The new review provides strong evidence against the belief that the burritos are giant.""
}",True,"{""defeater_present"": ""yes"", ""defeater_type"": ""rebutting_defeater"", ""defeater_strength"": ""strong"", ""support_relation"": ""negation_better_supported"", ""belief_revision"": ""believe_negation"", ""brief_explanation"": ""The new review provides strong evidence against the belief that the burritos are giant.""}",The new review provides strong evidence against the belief that the burritos are giant.,"{""defeater_present"": true, ""defeater_type"": true, ""defeater_strength"": true, ""support_relation"": true, ""belief_revision"": true, ""strength_support_coherence"": true, ""support_revision_coherence"": true}",7.0,7.0,1.0
def_009_burrito_undercutting,defeaters,undercutting,,,gpt-4o-mini,2026-07-08T04:25:44.789742+00:00,"{""defeater_present"": ""yes"", ""defeater_type"": ""undercutting_defeater"", ""defeater_strength"": ""moderate"", ""support_relation"": ""equal_support"", ""belief_revision"": ""suspend_judgment""}",,1.524,"{
  ""defeater_present"": ""yes"",
  ""defeater_type"": ""rebutting_defeater"",
  ""defeater_strength"": ""strong"",
  ""support_relation"": ""negation_better_supported"",
  ""belief_revision"": ""believe_negation"",
  ""brief_explanation"": ""The new information about the friend's dishonesty provides strong evidence against the target proposition.""
}",True,"{""defeater_present"": ""yes"", ""defeater_type"": ""rebutting_defeater"", ""defeater_strength"": ""strong"", ""support_relation"": ""negation_better_supported"", ""belief_revision"": ""believe_negation"", ""brief_explanation"": ""The new information about the friend's dishonesty provides strong evidence against the target proposition.""}",The new information about the friend's dishonesty provides strong evidence against the target proposition.,"{""defeater_present"": true, ""defeater_type"": false, ""defeater_strength"": false, ""support_relation"": false, ""belief_revision"": false, ""strength_support_coherence"": true, ""support_revision_coherence"": true}",3.0,7.0,0.42857142857142855
def_010_antarctica_placebo,defeaters,placebo_control,,,gpt-4o-mini,2026-07-08T04:25:46.313607+00:00,"{""defeater_present"": ""no"", ""defeater_type"": ""none_placebo"", ""defeater_strength"": ""none"", ""support_relation"": ""no_impact"", ""belief_revision"": ""maintain_target_belief""}",,1.4,"{
  ""defeater_present"": ""no"",
  ""defeater_type"": ""none_placebo"",
  ""defeater_strength"": ""none"",
  ""support_relation"": ""no_impact"",
  ""belief_revision"": ""maintain_target_belief"",
  ""brief_explanation"": ""The new information about the textbook's cover does not affect Cindy's belief about Antarctica.""
}",True,"{""defeater_present"": ""no"", ""defeater_type"": ""none_placebo"", ""defeater_strength"": ""none"", ""support_relation"": ""no_impact"", ""belief_revision"": ""maintain_target_belief"", ""brief_explanation"": ""The new information about the textbook's cover does not affect Cindy's belief about Antarctica.""}",The new information about the textbook's cover does not affect Cindy's belief about Antarctica.,"{""defeater_present"": true, ""defeater_type"": true, ""defeater_strength"": true, ""support_relation"": true, ""belief_revision"": true, ""strength_support_coherence"": true, ""support_revision_coherence"": true}",7.0,7.0,1.0
