case_id,module,schema_family,variant_id,difficulty,model,timestamp,expected_json,error,latency_s,raw_response,parsed_ok,predicted_json,brief_explanation,field_results_json,points,max_points,score
ab_002_belief_from_perception,belief_acceptance_knowledge,acceptance_and_belief,,,gemini-2.5-flash-lite,2026-07-09T02:43:30.925949+00:00,"{""attitude_status"": ""believes"", ""reason_type"": ""epistemic"", ""knowledge_status"": ""knows""}",,1.117,"{
  ""attitude_status"": ""believes_and_accepts"",
  ""reason_type"": ""epistemic"",
  ""knowledge_status"": ""knows"",
  ""brief_explanation"": ""Peter sees the geese, forms the belief that there is at least one bird, and the proposition is true, so he knows.""
}",True,"{""attitude_status"": ""believes_and_accepts"", ""reason_type"": ""epistemic"", ""knowledge_status"": ""knows"", ""brief_explanation"": ""Peter sees the geese, forms the belief that there is at least one bird, and the proposition is true, so he knows.""}","Peter sees the geese, forms the belief that there is at least one bird, and the proposition is true, so he knows.","{""attitude_status"": false, ""reason_type"": true, ""knowledge_status"": true}",2.0,3.0,0.6666666666666666
ab_019_belief_and_acceptance_bridge,belief_acceptance_knowledge,acceptance_and_belief,,,gemini-2.5-flash-lite,2026-07-09T02:43:32.042714+00:00,"{""attitude_status"": ""believes_and_accepts"", ""reason_type"": ""epistemic_and_practical"", ""knowledge_status"": ""knows""}",,0.595,"{
  ""attitude_status"": ""believes_and_accepts"",
  ""reason_type"": ""epistemic_and_practical"",
  ""knowledge_status"": ""knows"",
  ""brief_explanation"": ""Paul believes the bridge is closed because he received an official alert, the bridge is indeed closed, and he uses this information for practical planning.""
}",True,"{""attitude_status"": ""believes_and_accepts"", ""reason_type"": ""epistemic_and_practical"", ""knowledge_status"": ""knows"", ""brief_explanation"": ""Paul believes the bridge is closed because he received an official alert, the bridge is indeed closed, and he uses this information for practical planning.""}","Paul believes the bridge is closed because he received an official alert, the bridge is indeed closed, and he uses this information for practical planning.","{""attitude_status"": true, ""reason_type"": true, ""knowledge_status"": true}",3.0,3.0,1.0
jus_002_reliable_testimony_knowledge,belief_acceptance_knowledge,justification,,,gemini-2.5-flash-lite,2026-07-09T02:43:32.637914+00:00,"{""reason_type"": ""epistemic"", ""justification_status"": ""epistemically_justified"", ""knowledge_status"": ""knows""}",,0.702,"{
  ""reason_type"": ""epistemic"",
  ""justification_status"": ""epistemically_justified"",
  ""knowledge_status"": ""knows"",
  ""brief_explanation"": ""Lilly's belief is based on reliable testimony, the proposition is true, and her belief is therefore justified and constitutes knowledge.""
}",True,"{""reason_type"": ""epistemic"", ""justification_status"": ""epistemically_justified"", ""knowledge_status"": ""knows"", ""brief_explanation"": ""Lilly's belief is based on reliable testimony, the proposition is true, and her belief is therefore justified and constitutes knowledge.""}","Lilly's belief is based on reliable testimony, the proposition is true, and her belief is therefore justified and constitutes knowledge.","{""reason_type"": true, ""justification_status"": true, ""knowledge_status"": true}",3.0,3.0,1.0
jus_008_practical_reason_powerlifting,belief_acceptance_knowledge,justification,,,gemini-2.5-flash-lite,2026-07-09T02:43:33.340035+00:00,"{""reason_type"": ""practical"", ""justification_status"": ""not_epistemically_justified"", ""knowledge_status"": ""does_not_know""}",,0.557,"{
  ""reason_type"": ""practical"",
  ""justification_status"": ""not_epistemically_justified"",
  ""knowledge_status"": ""does_not_know"",
  ""brief_explanation"": ""Sarah's belief is based on her desire to see herself as a champion, not on evidence of her ability, making it practically motivated and epistemically unjustified.""
}",True,"{""reason_type"": ""practical"", ""justification_status"": ""not_epistemically_justified"", ""knowledge_status"": ""does_not_know"", ""brief_explanation"": ""Sarah's belief is based on her desire to see herself as a champion, not on evidence of her ability, making it practically motivated and epistemically unjustified.""}","Sarah's belief is based on her desire to see herself as a champion, not on evidence of her ability, making it practically motivated and epistemically unjustified.","{""reason_type"": true, ""justification_status"": true, ""knowledge_status"": true}",3.0,3.0,1.0
jus_009_overgeneralized_evidence_llamas,belief_acceptance_knowledge,justification,,,gemini-2.5-flash-lite,2026-07-09T02:43:33.896890+00:00,"{""reason_type"": ""none_or_indeterminate"", ""justification_status"": ""not_epistemically_justified"", ""knowledge_status"": ""does_not_know""}",,0.64,"{
  ""reason_type"": ""epistemic"",
  ""justification_status"": ""not_epistemically_justified"",
  ""knowledge_status"": ""does_not_know"",
  ""brief_explanation"": ""Chelsey's belief is based on evidence about local llamas, which is insufficient to justify a universal claim about all zoos, thus she does not know and is not epistemically justified.""
}",True,"{""reason_type"": ""epistemic"", ""justification_status"": ""not_epistemically_justified"", ""knowledge_status"": ""does_not_know"", ""brief_explanation"": ""Chelsey's belief is based on evidence about local llamas, which is insufficient to justify a universal claim about all zoos, thus she does not know and is not epistemically justified.""}","Chelsey's belief is based on evidence about local llamas, which is insufficient to justify a universal claim about all zoos, thus she does not know and is not epistemically justified.","{""reason_type"": false, ""justification_status"": true, ""knowledge_status"": true}",2.0,3.0,0.6666666666666666
el_009,epistemic_luck,intervening_luck,,medium,gemini-2.5-flash-lite,2026-07-09T02:43:34.536776+00:00,"{""justification_status"": ""justified"", ""knowledge_status"": ""does_not_know"", ""luck_status"": ""epistemic_luck_present"", ""luck_type"": ""intervening_luck""}",,0.798,"{
  ""justification_status"": ""justified"",
  ""knowledge_status"": ""knows"",
  ""luck_status"": ""no_epistemic_luck"",
  ""luck_type"": ""none"",
  ""brief_explanation"": ""Liam is justified in believing that someone in the seminar owns a signed copy of the novel because he sees what appears to be a signed copy, and Priya does indeed have a signed copy in her bag.""
}",True,"{""justification_status"": ""justified"", ""knowledge_status"": ""knows"", ""luck_status"": ""no_epistemic_luck"", ""luck_type"": ""none"", ""brief_explanation"": ""Liam is justified in believing that someone in the seminar owns a signed copy of the novel because he sees what appears to be a signed copy, and Priya does indeed have a signed copy in her bag.""}","Liam is justified in believing that someone in the seminar owns a signed copy of the novel because he sees what appears to be a signed copy, and Priya does indeed have a signed copy in her bag.","{""justification_status"": true, ""knowledge_status"": false, ""luck_status"": false, ""luck_type"": false}",1.0,6.0,0.16666666666666666
el_010,epistemic_luck,intervening_luck,,medium,gemini-2.5-flash-lite,2026-07-09T02:43:35.334682+00:00,"{""justification_status"": ""justified"", ""knowledge_status"": ""does_not_know"", ""luck_status"": ""epistemic_luck_present"", ""luck_type"": ""intervening_luck""}",,0.808,"{
  ""justification_status"": ""justified"",
  ""knowledge_status"": ""does_not_know"",
  ""luck_status"": ""epistemic_luck_present"",
  ""luck_type"": ""intervening_luck"",
  ""brief_explanation"": ""Ava is justified in believing there is a deer in the park based on her perception, but her belief is true due to a real deer elsewhere in the park, not the statue she observed, making her belief accidentally true.""
}",True,"{""justification_status"": ""justified"", ""knowledge_status"": ""does_not_know"", ""luck_status"": ""epistemic_luck_present"", ""luck_type"": ""intervening_luck"", ""brief_explanation"": ""Ava is justified in believing there is a deer in the park based on her perception, but her belief is true due to a real deer elsewhere in the park, not the statue she observed, making her belief accidentally true.""}","Ava is justified in believing there is a deer in the park based on her perception, but her belief is true due to a real deer elsewhere in the park, not the statue she observed, making her belief accidentally true.","{""justification_status"": true, ""knowledge_status"": true, ""luck_status"": true, ""luck_type"": true}",6.0,6.0,1.0
el_011,epistemic_luck,intervening_luck,,medium,gemini-2.5-flash-lite,2026-07-09T02:43:36.142890+00:00,"{""justification_status"": ""justified"", ""knowledge_status"": ""does_not_know"", ""luck_status"": ""epistemic_luck_present"", ""luck_type"": ""intervening_luck""}",,0.628,"{
  ""justification_status"": ""justified"",
  ""knowledge_status"": ""knows"",
  ""luck_status"": ""no_epistemic_luck"",
  ""luck_type"": ""none"",
  ""brief_explanation"": ""Julian is justified in believing that someone has an apple in their pocket because he saw Robert put something in his pocket, and another shopper did indeed have an apple in their pocket.""
}",True,"{""justification_status"": ""justified"", ""knowledge_status"": ""knows"", ""luck_status"": ""no_epistemic_luck"", ""luck_type"": ""none"", ""brief_explanation"": ""Julian is justified in believing that someone has an apple in their pocket because he saw Robert put something in his pocket, and another shopper did indeed have an apple in their pocket.""}","Julian is justified in believing that someone has an apple in their pocket because he saw Robert put something in his pocket, and another shopper did indeed have an apple in their pocket.","{""justification_status"": true, ""knowledge_status"": false, ""luck_status"": false, ""luck_type"": false}",1.0,6.0,0.16666666666666666
el_015,epistemic_luck,intervening_luck,,medium,gemini-2.5-flash-lite,2026-07-09T02:43:36.770890+00:00,"{""justification_status"": ""justified"", ""knowledge_status"": ""does_not_know"", ""luck_status"": ""epistemic_luck_present"", ""luck_type"": ""intervening_luck""}",,0.684,"{
  ""justification_status"": ""unjustified"",
  ""knowledge_status"": ""does_not_know"",
  ""luck_status"": ""epistemic_luck_present"",
  ""luck_type"": ""intervening_luck"",
  ""brief_explanation"": ""Shaun's belief is true due to an actual monkey hiding, but his justification is based on a misidentified service dog, making his true belief accidentally correct.""
}",True,"{""justification_status"": ""unjustified"", ""knowledge_status"": ""does_not_know"", ""luck_status"": ""epistemic_luck_present"", ""luck_type"": ""intervening_luck"", ""brief_explanation"": ""Shaun's belief is true due to an actual monkey hiding, but his justification is based on a misidentified service dog, making his true belief accidentally correct.""}","Shaun's belief is true due to an actual monkey hiding, but his justification is based on a misidentified service dog, making his true belief accidentally correct.","{""justification_status"": false, ""knowledge_status"": true, ""luck_status"": true, ""luck_type"": true}",5.0,6.0,0.8333333333333334
el_020,epistemic_luck,intervening_luck,,medium,gemini-2.5-flash-lite,2026-07-09T02:43:37.455013+00:00,"{""justification_status"": ""justified"", ""knowledge_status"": ""does_not_know"", ""luck_status"": ""epistemic_luck_present"", ""luck_type"": ""intervening_luck""}",,0.915,"{
  ""justification_status"": ""justified"",
  ""knowledge_status"": ""knows"",
  ""luck_status"": ""no_epistemic_luck"",
  ""luck_type"": ""none"",
  ""brief_explanation"": ""Ben's belief is justified by the menu, and it happens to be true due to an independent decision by the chef, but the justification is not defeated by luck because the truth-maker is not accidentally connected to the justification.""
}",True,"{""justification_status"": ""justified"", ""knowledge_status"": ""knows"", ""luck_status"": ""no_epistemic_luck"", ""luck_type"": ""none"", ""brief_explanation"": ""Ben's belief is justified by the menu, and it happens to be true due to an independent decision by the chef, but the justification is not defeated by luck because the truth-maker is not accidentally connected to the justification.""}","Ben's belief is justified by the menu, and it happens to be true due to an independent decision by the chef, but the justification is not defeated by luck because the truth-maker is not accidentally connected to the justification.","{""justification_status"": true, ""knowledge_status"": false, ""luck_status"": false, ""luck_type"": false}",1.0,6.0,0.16666666666666666
