case_id,module,schema_family,variant_id,difficulty,model,timestamp,expected_json,error,latency_s,raw_response,parsed_ok,predicted_json,brief_explanation,field_results_json,points,max_points,score
def_001_package_placebo,defeaters,placebo_control,,,claude-haiku-4-5,2026-07-08T04:32:30.319522+00:00,"{""defeater_present"": ""no"", ""defeater_type"": ""none_placebo"", ""defeater_strength"": ""none"", ""support_relation"": ""no_impact"", ""belief_revision"": ""maintain_target_belief""}",,1.612,"```json
{
  ""defeater_present"": ""no"",
  ""defeater_type"": ""none_placebo"",
  ""defeater_strength"": ""none"",
  ""support_relation"": ""no_impact"",
  ""belief_revision"": ""maintain_target_belief"",
  ""brief_explanation"": ""The color of the delivery truck is irrelevant to whether the package arrived, so this information has no epistemic effect on Ana's tracking-based belief.""
}
```",True,"{""defeater_present"": ""no"", ""defeater_type"": ""none_placebo"", ""defeater_strength"": ""none"", ""support_relation"": ""no_impact"", ""belief_revision"": ""maintain_target_belief"", ""brief_explanation"": ""The color of the delivery truck is irrelevant to whether the package arrived, so this information has no epistemic effect on Ana's tracking-based belief.""}","The color of the delivery truck is irrelevant to whether the package arrived, so this information has no epistemic effect on Ana's tracking-based belief.","{""defeater_present"": true, ""defeater_type"": true, ""defeater_strength"": true, ""support_relation"": true, ""belief_revision"": true, ""strength_support_coherence"": true, ""support_revision_coherence"": true}",7.0,7.0,1.0
def_002_package_rebutting,defeaters,rebutting,,,claude-haiku-4-5,2026-07-08T04:32:31.931696+00:00,"{""defeater_present"": ""yes"", ""defeater_type"": ""rebutting_defeater"", ""defeater_strength"": ""strong"", ""support_relation"": ""negation_better_supported"", ""belief_revision"": ""believe_negation""}",,1.381,"```json
{
  ""defeater_present"": ""yes"",
  ""defeater_type"": ""rebutting_defeater"",
  ""defeater_strength"": ""strong"",
  ""support_relation"": ""negation_better_supported"",
  ""belief_revision"": ""believe_negation"",
  ""brief_explanation"": ""The later notification from the delivery company directly contradicts the tracking page by stating the package is still at the warehouse, providing strong evidence against the proposition that the package arrived.""
}
```",True,"{""defeater_present"": ""yes"", ""defeater_type"": ""rebutting_defeater"", ""defeater_strength"": ""strong"", ""support_relation"": ""negation_better_supported"", ""belief_revision"": ""believe_negation"", ""brief_explanation"": ""The later notification from the delivery company directly contradicts the tracking page by stating the package is still at the warehouse, providing strong evidence against the proposition that the package arrived.""}","The later notification from the delivery company directly contradicts the tracking page by stating the package is still at the warehouse, providing strong evidence against the proposition that the package arrived.","{""defeater_present"": true, ""defeater_type"": true, ""defeater_strength"": true, ""support_relation"": true, ""belief_revision"": true, ""strength_support_coherence"": true, ""support_revision_coherence"": true}",7.0,7.0,1.0
def_003_package_undercutting,defeaters,undercutting,,,claude-haiku-4-5,2026-07-08T04:32:33.312711+00:00,"{""defeater_present"": ""yes"", ""defeater_type"": ""undercutting_defeater"", ""defeater_strength"": ""moderate"", ""support_relation"": ""equal_support"", ""belief_revision"": ""suspend_judgment""}",,1.367,"```json
{
  ""defeater_present"": ""yes"",
  ""defeater_type"": ""undercutting_defeater"",
  ""defeater_strength"": ""moderate"",
  ""support_relation"": ""equal_support"",
  ""belief_revision"": ""suspend_judgment"",
  ""brief_explanation"": ""The new information that the tracking system has issued false delivered notices to neighbors undermines the reliability of Ana's original evidence (the tracking page) without directly proving the package didn't arrive, leaving both p and not-p equally supported.""
}
```",True,"{""defeater_present"": ""yes"", ""defeater_type"": ""undercutting_defeater"", ""defeater_strength"": ""moderate"", ""support_relation"": ""equal_support"", ""belief_revision"": ""suspend_judgment"", ""brief_explanation"": ""The new information that the tracking system has issued false delivered notices to neighbors undermines the reliability of Ana's original evidence (the tracking page) without directly proving the package didn't arrive, leaving both p and not-p equally supported.""}","The new information that the tracking system has issued false delivered notices to neighbors undermines the reliability of Ana's original evidence (the tracking page) without directly proving the package didn't arrive, leaving both p and not-p equally supported.","{""defeater_present"": true, ""defeater_type"": true, ""defeater_strength"": true, ""support_relation"": true, ""belief_revision"": true, ""strength_support_coherence"": true, ""support_revision_coherence"": true}",7.0,7.0,1.0
def_004_dolphin_placebo,defeaters,placebo_control,,,claude-haiku-4-5,2026-07-08T04:32:34.680228+00:00,"{""defeater_present"": ""no"", ""defeater_type"": ""none_placebo"", ""defeater_strength"": ""none"", ""support_relation"": ""no_impact"", ""belief_revision"": ""maintain_target_belief""}",,1.156,"```json
{
  ""defeater_present"": ""no"",
  ""defeater_type"": ""none_placebo"",
  ""defeater_strength"": ""none"",
  ""support_relation"": ""no_impact"",
  ""belief_revision"": ""maintain_target_belief"",
  ""brief_explanation"": ""The observation of pelicans flying above the beach is epistemically irrelevant to whether there is a dolphin in the water and does not affect Jerry's initial perceptual evidence for the dolphin.""
}
```",True,"{""defeater_present"": ""no"", ""defeater_type"": ""none_placebo"", ""defeater_strength"": ""none"", ""support_relation"": ""no_impact"", ""belief_revision"": ""maintain_target_belief"", ""brief_explanation"": ""The observation of pelicans flying above the beach is epistemically irrelevant to whether there is a dolphin in the water and does not affect Jerry's initial perceptual evidence for the dolphin.""}",The observation of pelicans flying above the beach is epistemically irrelevant to whether there is a dolphin in the water and does not affect Jerry's initial perceptual evidence for the dolphin.,"{""defeater_present"": true, ""defeater_type"": true, ""defeater_strength"": true, ""support_relation"": true, ""belief_revision"": true, ""strength_support_coherence"": true, ""support_revision_coherence"": true}",7.0,7.0,1.0
def_005_dolphin_rebutting,defeaters,rebutting,,,claude-haiku-4-5,2026-07-08T04:32:35.836543+00:00,"{""defeater_present"": ""yes"", ""defeater_type"": ""rebutting_defeater"", ""defeater_strength"": ""strong"", ""support_relation"": ""negation_better_supported"", ""belief_revision"": ""believe_negation""}",,1.501,"```json
{
  ""defeater_present"": ""yes"",
  ""defeater_type"": ""rebutting_defeater"",
  ""defeater_strength"": ""strong"",
  ""support_relation"": ""negation_better_supported"",
  ""belief_revision"": ""believe_negation"",
  ""brief_explanation"": ""The reliable marine biologist's testimony directly contradicts Jerry's initial observation and provides strong evidence that the animal is a shark, not a dolphin, making not-p better supported than p.""
}
```",True,"{""defeater_present"": ""yes"", ""defeater_type"": ""rebutting_defeater"", ""defeater_strength"": ""strong"", ""support_relation"": ""negation_better_supported"", ""belief_revision"": ""believe_negation"", ""brief_explanation"": ""The reliable marine biologist's testimony directly contradicts Jerry's initial observation and provides strong evidence that the animal is a shark, not a dolphin, making not-p better supported than p.""}","The reliable marine biologist's testimony directly contradicts Jerry's initial observation and provides strong evidence that the animal is a shark, not a dolphin, making not-p better supported than p.","{""defeater_present"": true, ""defeater_type"": true, ""defeater_strength"": true, ""support_relation"": true, ""belief_revision"": true, ""strength_support_coherence"": true, ""support_revision_coherence"": true}",7.0,7.0,1.0
def_006_dolphin_higher_order,defeaters,higher_order,,,claude-haiku-4-5,2026-07-08T04:32:37.337467+00:00,"{""defeater_present"": ""yes"", ""defeater_type"": ""higher_order_defeater"", ""defeater_strength"": ""moderate"", ""support_relation"": ""equal_support"", ""belief_revision"": ""suspend_judgment""}",,1.289,"```json
{
  ""defeater_present"": ""yes"",
  ""defeater_type"": ""higher_order_defeater"",
  ""defeater_strength"": ""moderate"",
  ""support_relation"": ""equal_support"",
  ""belief_revision"": ""suspend_judgment"",
  ""brief_explanation"": ""The doctor's information about medication-induced hallucinations undermines Jerry's confidence in the reliability of his visual perception in this case, creating equal epistemic support for p and not-p.""
}
```",True,"{""defeater_present"": ""yes"", ""defeater_type"": ""higher_order_defeater"", ""defeater_strength"": ""moderate"", ""support_relation"": ""equal_support"", ""belief_revision"": ""suspend_judgment"", ""brief_explanation"": ""The doctor's information about medication-induced hallucinations undermines Jerry's confidence in the reliability of his visual perception in this case, creating equal epistemic support for p and not-p.""}","The doctor's information about medication-induced hallucinations undermines Jerry's confidence in the reliability of his visual perception in this case, creating equal epistemic support for p and not-p.","{""defeater_present"": true, ""defeater_type"": true, ""defeater_strength"": true, ""support_relation"": true, ""belief_revision"": true, ""strength_support_coherence"": true, ""support_revision_coherence"": true}",7.0,7.0,1.0
def_007_burrito_placebo,defeaters,placebo_control,,,claude-haiku-4-5,2026-07-08T04:32:38.626440+00:00,"{""defeater_present"": ""no"", ""defeater_type"": ""none_placebo"", ""defeater_strength"": ""none"", ""support_relation"": ""no_impact"", ""belief_revision"": ""maintain_target_belief""}",,1.289,"```json
{
  ""defeater_present"": ""no"",
  ""defeater_type"": ""none_placebo"",
  ""defeater_strength"": ""none"",
  ""support_relation"": ""no_impact"",
  ""belief_revision"": ""maintain_target_belief"",
  ""brief_explanation"": ""The distance of the restaurant from Adam's location is epistemically irrelevant to whether the burritos are giant; the new information does not affect the evidential support from his friend's testimony.""
}
```",True,"{""defeater_present"": ""no"", ""defeater_type"": ""none_placebo"", ""defeater_strength"": ""none"", ""support_relation"": ""no_impact"", ""belief_revision"": ""maintain_target_belief"", ""brief_explanation"": ""The distance of the restaurant from Adam's location is epistemically irrelevant to whether the burritos are giant; the new information does not affect the evidential support from his friend's testimony.""}",The distance of the restaurant from Adam's location is epistemically irrelevant to whether the burritos are giant; the new information does not affect the evidential support from his friend's testimony.,"{""defeater_present"": true, ""defeater_type"": true, ""defeater_strength"": true, ""support_relation"": true, ""belief_revision"": true, ""strength_support_coherence"": true, ""support_revision_coherence"": true}",7.0,7.0,1.0
def_008_burrito_rebutting,defeaters,rebutting,,,claude-haiku-4-5,2026-07-08T04:32:39.915690+00:00,"{""defeater_present"": ""yes"", ""defeater_type"": ""rebutting_defeater"", ""defeater_strength"": ""strong"", ""support_relation"": ""negation_better_supported"", ""belief_revision"": ""believe_negation""}",,1.22,"```json
{
  ""defeater_present"": ""yes"",
  ""defeater_type"": ""rebutting_defeater"",
  ""defeater_strength"": ""strong"",
  ""support_relation"": ""negation_better_supported"",
  ""belief_revision"": ""believe_negation"",
  ""brief_explanation"": ""The photographic evidence in the review directly contradicts the claim that burritos are giant by showing they are small, providing strong rebutting evidence against p.""
}
```",True,"{""defeater_present"": ""yes"", ""defeater_type"": ""rebutting_defeater"", ""defeater_strength"": ""strong"", ""support_relation"": ""negation_better_supported"", ""belief_revision"": ""believe_negation"", ""brief_explanation"": ""The photographic evidence in the review directly contradicts the claim that burritos are giant by showing they are small, providing strong rebutting evidence against p.""}","The photographic evidence in the review directly contradicts the claim that burritos are giant by showing they are small, providing strong rebutting evidence against p.","{""defeater_present"": true, ""defeater_type"": true, ""defeater_strength"": true, ""support_relation"": true, ""belief_revision"": true, ""strength_support_coherence"": true, ""support_revision_coherence"": true}",7.0,7.0,1.0
def_009_burrito_undercutting,defeaters,undercutting,,,claude-haiku-4-5,2026-07-08T04:32:41.135877+00:00,"{""defeater_present"": ""yes"", ""defeater_type"": ""undercutting_defeater"", ""defeater_strength"": ""moderate"", ""support_relation"": ""equal_support"", ""belief_revision"": ""suspend_judgment""}",,1.437,"```json
{
  ""defeater_present"": ""yes"",
  ""defeater_type"": ""higher_order_defeater"",
  ""defeater_strength"": ""strong"",
  ""support_relation"": ""negation_better_supported"",
  ""belief_revision"": ""suspend_judgment"",
  ""brief_explanation"": ""The new information that Adam's friend has repeatedly lied about burritos and tacos undermines the reliability of the friend as a source, giving Adam strong reason to doubt his original evidence for p without providing direct evidence for not-p.""
}
```",True,"{""defeater_present"": ""yes"", ""defeater_type"": ""higher_order_defeater"", ""defeater_strength"": ""strong"", ""support_relation"": ""negation_better_supported"", ""belief_revision"": ""suspend_judgment"", ""brief_explanation"": ""The new information that Adam's friend has repeatedly lied about burritos and tacos undermines the reliability of the friend as a source, giving Adam strong reason to doubt his original evidence for p without providing direct evidence for not-p.""}","The new information that Adam's friend has repeatedly lied about burritos and tacos undermines the reliability of the friend as a source, giving Adam strong reason to doubt his original evidence for p without providing direct evidence for not-p.","{""defeater_present"": true, ""defeater_type"": false, ""defeater_strength"": false, ""support_relation"": false, ""belief_revision"": true, ""strength_support_coherence"": true, ""support_revision_coherence"": false}",3.0,7.0,0.42857142857142855
def_010_antarctica_placebo,defeaters,placebo_control,,,claude-haiku-4-5,2026-07-08T04:32:42.573130+00:00,"{""defeater_present"": ""no"", ""defeater_type"": ""none_placebo"", ""defeater_strength"": ""none"", ""support_relation"": ""no_impact"", ""belief_revision"": ""maintain_target_belief""}",,1.234,"```json
{
  ""defeater_present"": ""no"",
  ""defeater_type"": ""none_placebo"",
  ""defeater_strength"": ""none"",
  ""support_relation"": ""no_impact"",
  ""belief_revision"": ""maintain_target_belief"",
  ""brief_explanation"": ""The color of a textbook cover is epistemically irrelevant to whether Antarctica exists and provides no evidence bearing on the target proposition.""
}
```",True,"{""defeater_present"": ""no"", ""defeater_type"": ""none_placebo"", ""defeater_strength"": ""none"", ""support_relation"": ""no_impact"", ""belief_revision"": ""maintain_target_belief"", ""brief_explanation"": ""The color of a textbook cover is epistemically irrelevant to whether Antarctica exists and provides no evidence bearing on the target proposition.""}",The color of a textbook cover is epistemically irrelevant to whether Antarctica exists and provides no evidence bearing on the target proposition.,"{""defeater_present"": true, ""defeater_type"": true, ""defeater_strength"": true, ""support_relation"": true, ""belief_revision"": true, ""strength_support_coherence"": true, ""support_revision_coherence"": true}",7.0,7.0,1.0
