case_id,module,schema_family,variant_id,difficulty,model,timestamp,expected_json,error,latency_s,raw_response,parsed_ok,predicted_json,brief_explanation,field_results_json,points,max_points,score
def_001_package_placebo,defeaters,placebo_control,,,claude-sonnet-5,2026-07-08T04:33:51.225162+00:00,"{""defeater_present"": ""no"", ""defeater_type"": ""none_placebo"", ""defeater_strength"": ""none"", ""support_relation"": ""no_impact"", ""belief_revision"": ""maintain_target_belief""}",,1.944,"{""defeater_present"":""no"",""defeater_type"":""none_placebo"",""defeater_strength"":""none"",""support_relation"":""no_impact"",""belief_revision"":""maintain_target_belief"",""brief_explanation"":""The truck's paint color is irrelevant to the reliability of the tracking page's delivery status, so it has no bearing on Ana's support for p.""}",True,"{""defeater_present"": ""no"", ""defeater_type"": ""none_placebo"", ""defeater_strength"": ""none"", ""support_relation"": ""no_impact"", ""belief_revision"": ""maintain_target_belief"", ""brief_explanation"": ""The truck's paint color is irrelevant to the reliability of the tracking page's delivery status, so it has no bearing on Ana's support for p.""}","The truck's paint color is irrelevant to the reliability of the tracking page's delivery status, so it has no bearing on Ana's support for p.","{""defeater_present"": true, ""defeater_type"": true, ""defeater_strength"": true, ""support_relation"": true, ""belief_revision"": true, ""strength_support_coherence"": true, ""support_revision_coherence"": true}",7.0,7.0,1.0
def_002_package_rebutting,defeaters,rebutting,,,claude-sonnet-5,2026-07-08T04:33:53.169519+00:00,"{""defeater_present"": ""yes"", ""defeater_type"": ""rebutting_defeater"", ""defeater_strength"": ""strong"", ""support_relation"": ""negation_better_supported"", ""belief_revision"": ""believe_negation""}",,3.386,"{
  ""defeater_present"": ""yes"",
  ""defeater_type"": ""rebutting_defeater"",
  ""defeater_strength"": ""strong"",
  ""support_relation"": ""negation_better_supported"",
  ""belief_revision"": ""believe_negation"",
  ""brief_explanation"": ""The later, more recent notification directly contradicts the delivery status, providing stronger evidence that the package has not arrived.""
}",True,"{""defeater_present"": ""yes"", ""defeater_type"": ""rebutting_defeater"", ""defeater_strength"": ""strong"", ""support_relation"": ""negation_better_supported"", ""belief_revision"": ""believe_negation"", ""brief_explanation"": ""The later, more recent notification directly contradicts the delivery status, providing stronger evidence that the package has not arrived.""}","The later, more recent notification directly contradicts the delivery status, providing stronger evidence that the package has not arrived.","{""defeater_present"": true, ""defeater_type"": true, ""defeater_strength"": true, ""support_relation"": true, ""belief_revision"": true, ""strength_support_coherence"": true, ""support_revision_coherence"": true}",7.0,7.0,1.0
def_003_package_undercutting,defeaters,undercutting,,,claude-sonnet-5,2026-07-08T04:33:56.555292+00:00,"{""defeater_present"": ""yes"", ""defeater_type"": ""undercutting_defeater"", ""defeater_strength"": ""moderate"", ""support_relation"": ""equal_support"", ""belief_revision"": ""suspend_judgment""}",,2.537,"{""defeater_present"":""yes"",""defeater_type"":""undercutting_defeater"",""defeater_strength"":""moderate"",""support_relation"":""equal_support"",""belief_revision"":""suspend_judgment"",""brief_explanation"":""Knowing the tracking system has been unreliable for neighbors this week undermines the reliability of the tracking notice as evidence, without directly indicating the package did not arrive, leaving the matter unresolved.""}",True,"{""defeater_present"": ""yes"", ""defeater_type"": ""undercutting_defeater"", ""defeater_strength"": ""moderate"", ""support_relation"": ""equal_support"", ""belief_revision"": ""suspend_judgment"", ""brief_explanation"": ""Knowing the tracking system has been unreliable for neighbors this week undermines the reliability of the tracking notice as evidence, without directly indicating the package did not arrive, leaving the matter unresolved.""}","Knowing the tracking system has been unreliable for neighbors this week undermines the reliability of the tracking notice as evidence, without directly indicating the package did not arrive, leaving the matter unresolved.","{""defeater_present"": true, ""defeater_type"": true, ""defeater_strength"": true, ""support_relation"": true, ""belief_revision"": true, ""strength_support_coherence"": true, ""support_revision_coherence"": true}",7.0,7.0,1.0
def_004_dolphin_placebo,defeaters,placebo_control,,,claude-sonnet-5,2026-07-08T04:33:59.092558+00:00,"{""defeater_present"": ""no"", ""defeater_type"": ""none_placebo"", ""defeater_strength"": ""none"", ""support_relation"": ""no_impact"", ""belief_revision"": ""maintain_target_belief""}",,1.823,"{""defeater_present"":""no"",""defeater_type"":""none_placebo"",""defeater_strength"":""none"",""support_relation"":""no_impact"",""belief_revision"":""maintain_target_belief"",""brief_explanation"":""Seeing pelicans flying above the beach is irrelevant to whether the object seen in the water was a dolphin, so it doesn't affect Jerry's original perceptual support for p.""}",True,"{""defeater_present"": ""no"", ""defeater_type"": ""none_placebo"", ""defeater_strength"": ""none"", ""support_relation"": ""no_impact"", ""belief_revision"": ""maintain_target_belief"", ""brief_explanation"": ""Seeing pelicans flying above the beach is irrelevant to whether the object seen in the water was a dolphin, so it doesn't affect Jerry's original perceptual support for p.""}","Seeing pelicans flying above the beach is irrelevant to whether the object seen in the water was a dolphin, so it doesn't affect Jerry's original perceptual support for p.","{""defeater_present"": true, ""defeater_type"": true, ""defeater_strength"": true, ""support_relation"": true, ""belief_revision"": true, ""strength_support_coherence"": true, ""support_revision_coherence"": true}",7.0,7.0,1.0
def_005_dolphin_rebutting,defeaters,rebutting,,,claude-sonnet-5,2026-07-08T04:34:00.916027+00:00,"{""defeater_present"": ""yes"", ""defeater_type"": ""rebutting_defeater"", ""defeater_strength"": ""strong"", ""support_relation"": ""negation_better_supported"", ""belief_revision"": ""believe_negation""}",,2.668,"{""defeater_present"":""yes"",""defeater_type"":""rebutting_defeater"",""defeater_strength"":""strong"",""support_relation"":""negation_better_supported"",""belief_revision"":""believe_negation"",""brief_explanation"":""The reliable marine biologist's expert testimony directly contradicts Jerry's perceptual belief, providing stronger evidence that the animal is a shark, not a dolphin.""}",True,"{""defeater_present"": ""yes"", ""defeater_type"": ""rebutting_defeater"", ""defeater_strength"": ""strong"", ""support_relation"": ""negation_better_supported"", ""belief_revision"": ""believe_negation"", ""brief_explanation"": ""The reliable marine biologist's expert testimony directly contradicts Jerry's perceptual belief, providing stronger evidence that the animal is a shark, not a dolphin.""}","The reliable marine biologist's expert testimony directly contradicts Jerry's perceptual belief, providing stronger evidence that the animal is a shark, not a dolphin.","{""defeater_present"": true, ""defeater_type"": true, ""defeater_strength"": true, ""support_relation"": true, ""belief_revision"": true, ""strength_support_coherence"": true, ""support_revision_coherence"": true}",7.0,7.0,1.0
def_006_dolphin_higher_order,defeaters,higher_order,,,claude-sonnet-5,2026-07-08T04:34:03.584313+00:00,"{""defeater_present"": ""yes"", ""defeater_type"": ""higher_order_defeater"", ""defeater_strength"": ""moderate"", ""support_relation"": ""equal_support"", ""belief_revision"": ""suspend_judgment""}",,2.312,"{
  ""defeater_present"": ""yes"",
  ""defeater_type"": ""higher_order_defeater"",
  ""defeater_strength"": ""moderate"",
  ""support_relation"": ""equal_support"",
  ""belief_revision"": ""suspend_judgment"",
  ""brief_explanation"": ""Learning that his medication can cause vivid hallucinations of animals undermines Jerry's confidence in his own perceptual reliability, neutralizing the evidential force of his visual experience without providing direct evidence against a dolphin being there.""
}",True,"{""defeater_present"": ""yes"", ""defeater_type"": ""higher_order_defeater"", ""defeater_strength"": ""moderate"", ""support_relation"": ""equal_support"", ""belief_revision"": ""suspend_judgment"", ""brief_explanation"": ""Learning that his medication can cause vivid hallucinations of animals undermines Jerry's confidence in his own perceptual reliability, neutralizing the evidential force of his visual experience without providing direct evidence against a dolphin being there.""}","Learning that his medication can cause vivid hallucinations of animals undermines Jerry's confidence in his own perceptual reliability, neutralizing the evidential force of his visual experience without providing direct evidence against a dolphin being there.","{""defeater_present"": true, ""defeater_type"": true, ""defeater_strength"": true, ""support_relation"": true, ""belief_revision"": true, ""strength_support_coherence"": true, ""support_revision_coherence"": true}",7.0,7.0,1.0
def_007_burrito_placebo,defeaters,placebo_control,,,claude-sonnet-5,2026-07-08T04:34:05.896771+00:00,"{""defeater_present"": ""no"", ""defeater_type"": ""none_placebo"", ""defeater_strength"": ""none"", ""support_relation"": ""no_impact"", ""belief_revision"": ""maintain_target_belief""}",,2.009,"{""defeater_present"":""no"",""defeater_type"":""none_placebo"",""defeater_strength"":""none"",""support_relation"":""no_impact"",""belief_revision"":""maintain_target_belief"",""brief_explanation"":""The restaurant's distance is irrelevant to the friend's testimony about burrito size, so it does not affect Adam's support for p.""}",True,"{""defeater_present"": ""no"", ""defeater_type"": ""none_placebo"", ""defeater_strength"": ""none"", ""support_relation"": ""no_impact"", ""belief_revision"": ""maintain_target_belief"", ""brief_explanation"": ""The restaurant's distance is irrelevant to the friend's testimony about burrito size, so it does not affect Adam's support for p.""}","The restaurant's distance is irrelevant to the friend's testimony about burrito size, so it does not affect Adam's support for p.","{""defeater_present"": true, ""defeater_type"": true, ""defeater_strength"": true, ""support_relation"": true, ""belief_revision"": true, ""strength_support_coherence"": true, ""support_revision_coherence"": true}",7.0,7.0,1.0
def_008_burrito_rebutting,defeaters,rebutting,,,claude-sonnet-5,2026-07-08T04:34:07.905946+00:00,"{""defeater_present"": ""yes"", ""defeater_type"": ""rebutting_defeater"", ""defeater_strength"": ""strong"", ""support_relation"": ""negation_better_supported"", ""belief_revision"": ""believe_negation""}",,1.804,"{""defeater_present"":""yes"",""defeater_type"":""rebutting_defeater"",""defeater_strength"":""strong"",""support_relation"":""negation_better_supported"",""belief_revision"":""believe_negation"",""brief_explanation"":""The recent photo review directly evidences that the burritos are small, outweighing the friend's unverified claim and supporting not-p.""}",True,"{""defeater_present"": ""yes"", ""defeater_type"": ""rebutting_defeater"", ""defeater_strength"": ""strong"", ""support_relation"": ""negation_better_supported"", ""belief_revision"": ""believe_negation"", ""brief_explanation"": ""The recent photo review directly evidences that the burritos are small, outweighing the friend's unverified claim and supporting not-p.""}","The recent photo review directly evidences that the burritos are small, outweighing the friend's unverified claim and supporting not-p.","{""defeater_present"": true, ""defeater_type"": true, ""defeater_strength"": true, ""support_relation"": true, ""belief_revision"": true, ""strength_support_coherence"": true, ""support_revision_coherence"": true}",7.0,7.0,1.0
def_009_burrito_undercutting,defeaters,undercutting,,,claude-sonnet-5,2026-07-08T04:34:09.710113+00:00,"{""defeater_present"": ""yes"", ""defeater_type"": ""undercutting_defeater"", ""defeater_strength"": ""moderate"", ""support_relation"": ""equal_support"", ""belief_revision"": ""suspend_judgment""}",,1.805,"{""defeater_present"":""yes"",""defeater_type"":""higher_order_defeater"",""defeater_strength"":""strong"",""support_relation"":""equal_support"",""belief_revision"":""suspend_judgment"",""brief_explanation"":""Discovering the friend habitually lies about burritos/tacos undermines the reliability of the testimony that grounded Adam's belief, leaving no good reason to favor p over not-p.""}",True,"{""defeater_present"": ""yes"", ""defeater_type"": ""higher_order_defeater"", ""defeater_strength"": ""strong"", ""support_relation"": ""equal_support"", ""belief_revision"": ""suspend_judgment"", ""brief_explanation"": ""Discovering the friend habitually lies about burritos/tacos undermines the reliability of the testimony that grounded Adam's belief, leaving no good reason to favor p over not-p.""}","Discovering the friend habitually lies about burritos/tacos undermines the reliability of the testimony that grounded Adam's belief, leaving no good reason to favor p over not-p.","{""defeater_present"": true, ""defeater_type"": false, ""defeater_strength"": false, ""support_relation"": true, ""belief_revision"": true, ""strength_support_coherence"": false, ""support_revision_coherence"": true}",4.0,7.0,0.5714285714285714
def_010_antarctica_placebo,defeaters,placebo_control,,,claude-sonnet-5,2026-07-08T04:34:11.515350+00:00,"{""defeater_present"": ""no"", ""defeater_type"": ""none_placebo"", ""defeater_strength"": ""none"", ""support_relation"": ""no_impact"", ""belief_revision"": ""maintain_target_belief""}",,3.02,"{
  ""defeater_present"": ""no"",
  ""defeater_type"": ""none_placebo"",
  ""defeater_strength"": ""none"",
  ""support_relation"": ""negation_better_supported"",
  ""belief_revision"": ""believe_negation"",
  ""brief_explanation"": ""The textbook cover color is irrelevant to Antarctica's existence, and independent of Cindy's weak reasoning, Antarctica is in fact real, so not-p (Antarctica is not real) remains false and unsupported while p... but since p is defined as 'Antarctica is not real,' the factual truth means not-p (Antarctica is real) is actually better supported, though the new info itself has no epistemic effect.""
}",True,"{""defeater_present"": ""no"", ""defeater_type"": ""none_placebo"", ""defeater_strength"": ""none"", ""support_relation"": ""negation_better_supported"", ""belief_revision"": ""believe_negation"", ""brief_explanation"": ""The textbook cover color is irrelevant to Antarctica's existence, and independent of Cindy's weak reasoning, Antarctica is in fact real, so not-p (Antarctica is not real) remains false and unsupported while p... but since p is defined as 'Antarctica is not real,' the factual truth means not-p (Antarctica is real) is actually better supported, though the new info itself has no epistemic effect.""}","The textbook cover color is irrelevant to Antarctica's existence, and independent of Cindy's weak reasoning, Antarctica is in fact real, so not-p (Antarctica is not real) remains false and unsupported while p... but since p is defined as 'Antarctica is not real,' the factual truth means not-p (Antarctica is real) is actually better supported, though the new info itself has no epistemic effect.","{""defeater_present"": true, ""defeater_type"": true, ""defeater_strength"": true, ""support_relation"": false, ""belief_revision"": false, ""strength_support_coherence"": false, ""support_revision_coherence"": true}",4.0,7.0,0.5714285714285714
def_011_antarctica_rebutting,defeaters,rebutting,,,claude-sonnet-5,2026-07-08T04:34:14.535599+00:00,"{""defeater_present"": ""yes"", ""defeater_type"": ""rebutting_defeater"", ""defeater_strength"": ""strong"", ""support_relation"": ""negation_better_supported"", ""belief_revision"": ""believe_negation""}",,2.198,"{
  ""defeater_present"": ""yes"",
  ""defeater_type"": ""rebutting_defeater"",
  ""defeater_strength"": ""strong"",
  ""support_relation"": ""negation_better_supported"",
  ""belief_revision"": ""believe_negation"",
  ""brief_explanation"": ""The reliable textbook directly provides strong evidence that Antarctica is real, which is evidence against p (that Antarctica is not real), making not-p (Antarctica is real) better supported.""
}",True,"{""defeater_present"": ""yes"", ""defeater_type"": ""rebutting_defeater"", ""defeater_strength"": ""strong"", ""support_relation"": ""negation_better_supported"", ""belief_revision"": ""believe_negation"", ""brief_explanation"": ""The reliable textbook directly provides strong evidence that Antarctica is real, which is evidence against p (that Antarctica is not real), making not-p (Antarctica is real) better supported.""}","The reliable textbook directly provides strong evidence that Antarctica is real, which is evidence against p (that Antarctica is not real), making not-p (Antarctica is real) better supported.","{""defeater_present"": true, ""defeater_type"": true, ""defeater_strength"": true, ""support_relation"": true, ""belief_revision"": true, ""strength_support_coherence"": true, ""support_revision_coherence"": true}",7.0,7.0,1.0
