case_id,module,schema_family,variant_id,difficulty,model,timestamp,expected_json,error,latency_s,raw_response,parsed_ok,predicted_json,brief_explanation,field_results_json,points,max_points,score
el_001,epistemic_luck,knowledge_control,,easy,claude-haiku-4-5,2026-07-08T21:51:20.669907+00:00,"{""justification_status"": ""justified"", ""knowledge_status"": ""knows"", ""luck_status"": ""no_epistemic_luck"", ""luck_type"": ""none""}",,1.485,"```json
{
  ""justification_status"": ""justified"",
  ""knowledge_status"": ""knows"",
  ""luck_status"": ""no_epistemic_luck"",
  ""luck_type"": ""none"",
  ""brief_explanation"": ""Alfred has adequate justification from a reliable source (Ted's recent testimony), the proposition is true, and there is no knowledge-defeating luck present in the formation of this belief.""
}
```",True,"{""justification_status"": ""justified"", ""knowledge_status"": ""knows"", ""luck_status"": ""no_epistemic_luck"", ""luck_type"": ""none"", ""brief_explanation"": ""Alfred has adequate justification from a reliable source (Ted's recent testimony), the proposition is true, and there is no knowledge-defeating luck present in the formation of this belief.""}","Alfred has adequate justification from a reliable source (Ted's recent testimony), the proposition is true, and there is no knowledge-defeating luck present in the formation of this belief.","{""justification_status"": true, ""knowledge_status"": true, ""luck_status"": true, ""luck_type"": true}",6.0,6.0,1.0
el_002,epistemic_luck,knowledge_control,,easy,claude-haiku-4-5,2026-07-08T21:51:22.155380+00:00,"{""justification_status"": ""justified"", ""knowledge_status"": ""knows"", ""luck_status"": ""no_epistemic_luck"", ""luck_type"": ""none""}",,1.474,"```json
{
  ""justification_status"": ""justified"",
  ""knowledge_status"": ""knows"",
  ""luck_status"": ""no_epistemic_luck"",
  ""luck_type"": ""none"",
  ""brief_explanation"": ""Lea has adequate epistemic support from direct observation of Luke driving and parking his car, plus his mention of registration renewal; the belief is true and formed through a reliable perceptual process with no knowledge-defeating luck.""
}
```",True,"{""justification_status"": ""justified"", ""knowledge_status"": ""knows"", ""luck_status"": ""no_epistemic_luck"", ""luck_type"": ""none"", ""brief_explanation"": ""Lea has adequate epistemic support from direct observation of Luke driving and parking his car, plus his mention of registration renewal; the belief is true and formed through a reliable perceptual process with no knowledge-defeating luck.""}","Lea has adequate epistemic support from direct observation of Luke driving and parking his car, plus his mention of registration renewal; the belief is true and formed through a reliable perceptual process with no knowledge-defeating luck.","{""justification_status"": true, ""knowledge_status"": true, ""luck_status"": true, ""luck_type"": true}",6.0,6.0,1.0
el_003,epistemic_luck,knowledge_control,,easy,claude-haiku-4-5,2026-07-08T21:51:23.629322+00:00,"{""justification_status"": ""justified"", ""knowledge_status"": ""knows"", ""luck_status"": ""no_epistemic_luck"", ""luck_type"": ""none""}",,1.202,"```json
{
  ""justification_status"": ""justified"",
  ""knowledge_status"": ""knows"",
  ""luck_status"": ""no_epistemic_luck"",
  ""luck_type"": ""none"",
  ""brief_explanation"": ""Nina forms her belief through a reliable, normally accurate system with no reported errors, the belief is true, and there is no knowledge-defeating luck present in the case.""
}
```",True,"{""justification_status"": ""justified"", ""knowledge_status"": ""knows"", ""luck_status"": ""no_epistemic_luck"", ""luck_type"": ""none"", ""brief_explanation"": ""Nina forms her belief through a reliable, normally accurate system with no reported errors, the belief is true, and there is no knowledge-defeating luck present in the case.""}","Nina forms her belief through a reliable, normally accurate system with no reported errors, the belief is true, and there is no knowledge-defeating luck present in the case.","{""justification_status"": true, ""knowledge_status"": true, ""luck_status"": true, ""luck_type"": true}",6.0,6.0,1.0
el_004,epistemic_luck,knowledge_control,,easy,claude-haiku-4-5,2026-07-08T21:51:24.831811+00:00,"{""justification_status"": ""justified"", ""knowledge_status"": ""knows"", ""luck_status"": ""no_epistemic_luck"", ""luck_type"": ""none""}",,1.677,"```json
{
  ""justification_status"": ""justified"",
  ""knowledge_status"": ""knows"",
  ""luck_status"": ""no_epistemic_luck"",
  ""luck_type"": ""none"",
  ""brief_explanation"": ""Rosa has reliable, convergent evidence (scanner, database, and label) that the vial is B17, the proposition is true, and her belief is formed through a trustworthy process with no knowledge-defeating luck.""
}
```",True,"{""justification_status"": ""justified"", ""knowledge_status"": ""knows"", ""luck_status"": ""no_epistemic_luck"", ""luck_type"": ""none"", ""brief_explanation"": ""Rosa has reliable, convergent evidence (scanner, database, and label) that the vial is B17, the proposition is true, and her belief is formed through a trustworthy process with no knowledge-defeating luck.""}","Rosa has reliable, convergent evidence (scanner, database, and label) that the vial is B17, the proposition is true, and her belief is formed through a trustworthy process with no knowledge-defeating luck.","{""justification_status"": true, ""knowledge_status"": true, ""luck_status"": true, ""luck_type"": true}",6.0,6.0,1.0
el_005,epistemic_luck,knowledge_control,,easy,claude-haiku-4-5,2026-07-08T21:51:26.509149+00:00,"{""justification_status"": ""justified"", ""knowledge_status"": ""knows"", ""luck_status"": ""no_epistemic_luck"", ""luck_type"": ""none""}",,1.26,"```json
{
  ""justification_status"": ""justified"",
  ""knowledge_status"": ""knows"",
  ""luck_status"": ""no_epistemic_luck"",
  ""luck_type"": ""none"",
  ""brief_explanation"": ""Marcus has adequate epistemic support from checking the official website and calling the front desk, the proposition is true, and his belief was formed through reliable methods with no knowledge-defeating luck.""
}
```",True,"{""justification_status"": ""justified"", ""knowledge_status"": ""knows"", ""luck_status"": ""no_epistemic_luck"", ""luck_type"": ""none"", ""brief_explanation"": ""Marcus has adequate epistemic support from checking the official website and calling the front desk, the proposition is true, and his belief was formed through reliable methods with no knowledge-defeating luck.""}","Marcus has adequate epistemic support from checking the official website and calling the front desk, the proposition is true, and his belief was formed through reliable methods with no knowledge-defeating luck.","{""justification_status"": true, ""knowledge_status"": true, ""luck_status"": true, ""luck_type"": true}",6.0,6.0,1.0
el_006,epistemic_luck,lucky_guess,,easy,claude-haiku-4-5,2026-07-08T21:51:27.768824+00:00,"{""justification_status"": ""unjustified"", ""knowledge_status"": ""does_not_know"", ""luck_status"": ""epistemic_luck_present"", ""luck_type"": ""lucky_guess""}",,1.181,"```json
{
  ""justification_status"": ""unjustified"",
  ""knowledge_status"": ""does_not_know"",
  ""luck_status"": ""epistemic_luck_present"",
  ""luck_type"": ""lucky_guess"",
  ""brief_explanation"": ""William believes the coffee shop is open based solely on hope with no epistemic support, and although the belief happens to be true, it is a lucky guess rather than knowledge.""
}
```",True,"{""justification_status"": ""unjustified"", ""knowledge_status"": ""does_not_know"", ""luck_status"": ""epistemic_luck_present"", ""luck_type"": ""lucky_guess"", ""brief_explanation"": ""William believes the coffee shop is open based solely on hope with no epistemic support, and although the belief happens to be true, it is a lucky guess rather than knowledge.""}","William believes the coffee shop is open based solely on hope with no epistemic support, and although the belief happens to be true, it is a lucky guess rather than knowledge.","{""justification_status"": true, ""knowledge_status"": true, ""luck_status"": true, ""luck_type"": true}",6.0,6.0,1.0
el_007,epistemic_luck,lucky_guess,,easy,claude-haiku-4-5,2026-07-08T21:51:28.949925+00:00,"{""justification_status"": ""unjustified"", ""knowledge_status"": ""does_not_know"", ""luck_status"": ""epistemic_luck_present"", ""luck_type"": ""lucky_guess""}",,1.028,"```json
{
  ""justification_status"": ""unjustified"",
  ""knowledge_status"": ""does_not_know"",
  ""luck_status"": ""epistemic_luck_present"",
  ""luck_type"": ""lucky_guess"",
  ""brief_explanation"": ""Michelle formed a true belief on a whim without adequate epistemic support, guessing correctly by chance rather than through reliable reasoning.""
}
```",True,"{""justification_status"": ""unjustified"", ""knowledge_status"": ""does_not_know"", ""luck_status"": ""epistemic_luck_present"", ""luck_type"": ""lucky_guess"", ""brief_explanation"": ""Michelle formed a true belief on a whim without adequate epistemic support, guessing correctly by chance rather than through reliable reasoning.""}","Michelle formed a true belief on a whim without adequate epistemic support, guessing correctly by chance rather than through reliable reasoning.","{""justification_status"": true, ""knowledge_status"": true, ""luck_status"": true, ""luck_type"": true}",6.0,6.0,1.0
el_008,epistemic_luck,lucky_guess,,easy,claude-haiku-4-5,2026-07-08T21:51:29.977992+00:00,"{""justification_status"": ""unjustified"", ""knowledge_status"": ""does_not_know"", ""luck_status"": ""epistemic_luck_present"", ""luck_type"": ""lucky_guess""}",,1.76,"```json
{
  ""justification_status"": ""unjustified"",
  ""knowledge_status"": ""does_not_know"",
  ""luck_status"": ""epistemic_luck_present"",
  ""luck_type"": ""lucky_guess"",
  ""brief_explanation"": ""Omar formed a true belief by random guessing without any epistemic support, making this a lucky guess rather than knowledge.""
}
```",True,"{""justification_status"": ""unjustified"", ""knowledge_status"": ""does_not_know"", ""luck_status"": ""epistemic_luck_present"", ""luck_type"": ""lucky_guess"", ""brief_explanation"": ""Omar formed a true belief by random guessing without any epistemic support, making this a lucky guess rather than knowledge.""}","Omar formed a true belief by random guessing without any epistemic support, making this a lucky guess rather than knowledge.","{""justification_status"": true, ""knowledge_status"": true, ""luck_status"": true, ""luck_type"": true}",6.0,6.0,1.0
el_009,epistemic_luck,intervening_luck,,medium,claude-haiku-4-5,2026-07-08T21:51:31.737953+00:00,"{""justification_status"": ""justified"", ""knowledge_status"": ""does_not_know"", ""luck_status"": ""epistemic_luck_present"", ""luck_type"": ""intervening_luck""}",,1.674,"```json
{
  ""justification_status"": ""justified"",
  ""knowledge_status"": ""knows"",
  ""luck_status"": ""epistemic_luck_present"",
  ""luck_type"": ""intervening_luck"",
  ""brief_explanation"": ""Liam's belief is justified by what appears to be a signed copy and is true because Priya owns a real signed copy, but the truth is disconnected from his evidence—he is correct by accident rather than because his reasoning successfully tracked the truth.""
}
```",True,"{""justification_status"": ""justified"", ""knowledge_status"": ""knows"", ""luck_status"": ""epistemic_luck_present"", ""luck_type"": ""intervening_luck"", ""brief_explanation"": ""Liam's belief is justified by what appears to be a signed copy and is true because Priya owns a real signed copy, but the truth is disconnected from his evidence\u2014he is correct by accident rather than because his reasoning successfully tracked the truth.""}","Liam's belief is justified by what appears to be a signed copy and is true because Priya owns a real signed copy, but the truth is disconnected from his evidence—he is correct by accident rather than because his reasoning successfully tracked the truth.","{""justification_status"": true, ""knowledge_status"": false, ""luck_status"": true, ""luck_type"": true}",4.0,6.0,0.6666666666666666
el_010,epistemic_luck,intervening_luck,,medium,claude-haiku-4-5,2026-07-08T21:51:33.412472+00:00,"{""justification_status"": ""justified"", ""knowledge_status"": ""does_not_know"", ""luck_status"": ""epistemic_luck_present"", ""luck_type"": ""intervening_luck""}",,1.799,"```json
{
  ""justification_status"": ""justified"",
  ""knowledge_status"": ""knows"",
  ""luck_status"": ""no_epistemic_luck"",
  ""luck_type"": ""none"",
  ""brief_explanation"": ""Ava's belief that there is a deer in the park is justified by her visual experience, the proposition is true (a real deer exists in the park), and her belief is not defeated by epistemic luck—she formed a true belief through a reliable perceptual process, even though her specific perceptual target was a statue rather than the actual deer.""
}
```",True,"{""justification_status"": ""justified"", ""knowledge_status"": ""knows"", ""luck_status"": ""no_epistemic_luck"", ""luck_type"": ""none"", ""brief_explanation"": ""Ava's belief that there is a deer in the park is justified by her visual experience, the proposition is true (a real deer exists in the park), and her belief is not defeated by epistemic luck\u2014she formed a true belief through a reliable perceptual process, even though her specific perceptual target was a statue rather than the actual deer.""}","Ava's belief that there is a deer in the park is justified by her visual experience, the proposition is true (a real deer exists in the park), and her belief is not defeated by epistemic luck—she formed a true belief through a reliable perceptual process, even though her specific perceptual target was a statue rather than the actual deer.","{""justification_status"": true, ""knowledge_status"": false, ""luck_status"": false, ""luck_type"": false}",1.0,6.0,0.16666666666666666
