case_id,module,schema_family,variant_id,difficulty,model,timestamp,expected_json,error,latency_s,raw_response,parsed_ok,predicted_json,brief_explanation,field_results_json,points,max_points,score
btk_001_false_belief,belief_acceptance_knowledge,belief_truth_knowledge,,,claude-sonnet-5,2026-07-05T20:19:47.693754+00:00,"{""attitude_status"": ""believes"", ""truth_status"": ""false"", ""knowledge_status"": ""does_not_know""}",,2.319,"{""attitude_status"": ""believes"", ""truth_status"": ""false"", ""knowledge_status"": ""does_not_know"", ""brief_explanation"": ""Jack believes the medicine was delivered, but since it was not, his belief is false and cannot count as knowledge.""}",True,"{""attitude_status"": ""believes"", ""truth_status"": ""false"", ""knowledge_status"": ""does_not_know"", ""brief_explanation"": ""Jack believes the medicine was delivered, but since it was not, his belief is false and cannot count as knowledge.""}","Jack believes the medicine was delivered, but since it was not, his belief is false and cannot count as knowledge.","{""attitude_status"": true, ""truth_status"": true, ""knowledge_status"": true}",3.0,3.0,1.0
btk_002_true_without_belief,belief_acceptance_knowledge,belief_truth_knowledge,,,claude-sonnet-5,2026-07-05T20:19:50.012948+00:00,"{""attitude_status"": ""does_not_believe"", ""truth_status"": ""true"", ""knowledge_status"": ""does_not_know""}",,2.385,"```json
{
""attitude_status"": ""does_not_believe"",
""truth_status"": ""true"",
""knowledge_status"": ""does_not_know"",
""brief_explanation"": ""Bill merely imagined the proposition without forming a belief, so despite it being true, he cannot be said to know it.""
}
```",True,"{""attitude_status"": ""does_not_believe"", ""truth_status"": ""true"", ""knowledge_status"": ""does_not_know"", ""brief_explanation"": ""Bill merely imagined the proposition without forming a belief, so despite it being true, he cannot be said to know it.""}","Bill merely imagined the proposition without forming a belief, so despite it being true, he cannot be said to know it.","{""attitude_status"": true, ""truth_status"": true, ""knowledge_status"": true}",3.0,3.0,1.0
btk_003_knowledge_with_distractor,belief_acceptance_knowledge,belief_truth_knowledge,,,claude-sonnet-5,2026-07-05T20:19:52.397569+00:00,"{""attitude_status"": ""believes"", ""truth_status"": ""true"", ""knowledge_status"": ""knows""}",,2.371,"```json
{
""attitude_status"": ""believes"",
""truth_status"": ""true"",
""knowledge_status"": ""knows"",
""brief_explanation"": ""Brooke believes Mars is red, it is true, and she has strong astronomical evidence supporting this true belief, constituting knowledge.""
}
```",True,"{""attitude_status"": ""believes"", ""truth_status"": ""true"", ""knowledge_status"": ""knows"", ""brief_explanation"": ""Brooke believes Mars is red, it is true, and she has strong astronomical evidence supporting this true belief, constituting knowledge.""}","Brooke believes Mars is red, it is true, and she has strong astronomical evidence supporting this true belief, constituting knowledge.","{""attitude_status"": true, ""truth_status"": true, ""knowledge_status"": true}",3.0,3.0,1.0
btk_004_justified_false_belief,belief_acceptance_knowledge,belief_truth_knowledge,,,claude-sonnet-5,2026-07-05T20:19:54.768712+00:00,"{""attitude_status"": ""believes"", ""truth_status"": ""false"", ""knowledge_status"": ""does_not_know""}",,2.263,"```json
{
""attitude_status"": ""believes"",
""truth_status"": ""false"",
""knowledge_status"": ""does_not_know"",
""brief_explanation"": ""Adam believes the claim based on reliable testimony, but since the doctor is mistaken and the proposition is false, Adam cannot know it.""
}
```",True,"{""attitude_status"": ""believes"", ""truth_status"": ""false"", ""knowledge_status"": ""does_not_know"", ""brief_explanation"": ""Adam believes the claim based on reliable testimony, but since the doctor is mistaken and the proposition is false, Adam cannot know it.""}","Adam believes the claim based on reliable testimony, but since the doctor is mistaken and the proposition is false, Adam cannot know it.","{""attitude_status"": true, ""truth_status"": true, ""knowledge_status"": true}",3.0,3.0,1.0
btk_005_justification_without_belief,belief_acceptance_knowledge,belief_truth_knowledge,,,claude-sonnet-5,2026-07-05T20:19:57.031739+00:00,"{""attitude_status"": ""does_not_believe"", ""truth_status"": ""true"", ""knowledge_status"": ""does_not_know""}",,2.251,"```json
{
""attitude_status"": ""does_not_believe"",
""truth_status"": ""true"",
""knowledge_status"": ""does_not_know"",
""brief_explanation"": ""Jill has reliable evidence but does not believe the true proposition, so despite its truth she lacks the belief required for knowledge.""
}
```",True,"{""attitude_status"": ""does_not_believe"", ""truth_status"": ""true"", ""knowledge_status"": ""does_not_know"", ""brief_explanation"": ""Jill has reliable evidence but does not believe the true proposition, so despite its truth she lacks the belief required for knowledge.""}","Jill has reliable evidence but does not believe the true proposition, so despite its truth she lacks the belief required for knowledge.","{""attitude_status"": true, ""truth_status"": true, ""knowledge_status"": true}",3.0,3.0,1.0
btk_006_unjustified_false_belief,belief_acceptance_knowledge,belief_truth_knowledge,,,claude-sonnet-5,2026-07-05T20:19:59.283157+00:00,"{""attitude_status"": ""believes"", ""truth_status"": ""false"", ""knowledge_status"": ""does_not_know""}",,1.539,"```json
{
""attitude_status"": ""believes"",
""truth_status"": ""false"",
""knowledge_status"": ""does_not_know"",
""brief_explanation"": ""Veronica believes the claim without evidence, but it is actually false, so she cannot know it.""
}
```",True,"{""attitude_status"": ""believes"", ""truth_status"": ""false"", ""knowledge_status"": ""does_not_know"", ""brief_explanation"": ""Veronica believes the claim without evidence, but it is actually false, so she cannot know it.""}","Veronica believes the claim without evidence, but it is actually false, so she cannot know it.","{""attitude_status"": true, ""truth_status"": true, ""knowledge_status"": true}",3.0,3.0,1.0
btk_007_simple_knowledge,belief_acceptance_knowledge,belief_truth_knowledge,,,claude-sonnet-5,2026-07-05T20:20:00.822067+00:00,"{""attitude_status"": ""believes"", ""truth_status"": ""true"", ""knowledge_status"": ""knows""}",,1.715,"{""attitude_status"":""believes"",""truth_status"":""true"",""knowledge_status"":""knows"",""brief_explanation"":""Mark's true belief is reliably justified by a trustworthy employee who verified the schedule, satisfying conditions for knowledge.""}",True,"{""attitude_status"": ""believes"", ""truth_status"": ""true"", ""knowledge_status"": ""knows"", ""brief_explanation"": ""Mark's true belief is reliably justified by a trustworthy employee who verified the schedule, satisfying conditions for knowledge.""}","Mark's true belief is reliably justified by a trustworthy employee who verified the schedule, satisfying conditions for knowledge.","{""attitude_status"": true, ""truth_status"": true, ""knowledge_status"": true}",3.0,3.0,1.0
btk_008_false_belief_with_irrelevant_evidence,belief_acceptance_knowledge,belief_truth_knowledge,,,claude-sonnet-5,2026-07-05T20:20:02.537402+00:00,"{""attitude_status"": ""believes"", ""truth_status"": ""false"", ""knowledge_status"": ""does_not_know""}",,1.693,"{""attitude_status"": ""believes"", ""truth_status"": ""false"", ""knowledge_status"": ""does_not_know"", ""brief_explanation"": ""Jane believes monkeys can fly without evidence, but the claim is false, so she cannot know it.""}",True,"{""attitude_status"": ""believes"", ""truth_status"": ""false"", ""knowledge_status"": ""does_not_know"", ""brief_explanation"": ""Jane believes monkeys can fly without evidence, but the claim is false, so she cannot know it.""}","Jane believes monkeys can fly without evidence, but the claim is false, so she cannot know it.","{""attitude_status"": true, ""truth_status"": true, ""knowledge_status"": true}",3.0,3.0,1.0
btk_009_rejection_of_true_proposition,belief_acceptance_knowledge,belief_truth_knowledge,,,claude-sonnet-5,2026-07-05T20:20:04.230556+00:00,"{""attitude_status"": ""does_not_believe"", ""truth_status"": ""true"", ""knowledge_status"": ""does_not_know""}",,1.944,"```json
{
""attitude_status"": ""does_not_believe"",
""truth_status"": ""true"",
""knowledge_status"": ""does_not_know"",
""brief_explanation"": ""Noah has good reasons supporting the true proposition but rejects it, so despite the evidence he does not believe it and thus cannot know it.""
}
```",True,"{""attitude_status"": ""does_not_believe"", ""truth_status"": ""true"", ""knowledge_status"": ""does_not_know"", ""brief_explanation"": ""Noah has good reasons supporting the true proposition but rejects it, so despite the evidence he does not believe it and thus cannot know it.""}","Noah has good reasons supporting the true proposition but rejects it, so despite the evidence he does not believe it and thus cannot know it.","{""attitude_status"": true, ""truth_status"": true, ""knowledge_status"": true}",3.0,3.0,1.0
btk_010_indeterminate_attitude_true_target,belief_acceptance_knowledge,belief_truth_knowledge,,,claude-sonnet-5,2026-07-05T20:20:06.175100+00:00,"{""attitude_status"": ""indeterminate"", ""truth_status"": ""true"", ""knowledge_status"": ""indeterminate""}",,3.888,"{""attitude_status"": ""indeterminate"", ""truth_status"": ""true"", ""knowledge_status"": ""indeterminate"", ""brief_explanation"": ""Liam's belief concerns tomorrow's rain, and the scenario never states whether he has noticed or believes anything about today's actual rain.""}",True,"{""attitude_status"": ""indeterminate"", ""truth_status"": ""true"", ""knowledge_status"": ""indeterminate"", ""brief_explanation"": ""Liam's belief concerns tomorrow's rain, and the scenario never states whether he has noticed or believes anything about today's actual rain.""}","Liam's belief concerns tomorrow's rain, and the scenario never states whether he has noticed or believes anything about today's actual rain.","{""attitude_status"": true, ""truth_status"": true, ""knowledge_status"": true}",3.0,3.0,1.0
btk_011_justified_false_belief_testimony,belief_acceptance_knowledge,belief_truth_knowledge,,,claude-sonnet-5,2026-07-05T20:20:10.062805+00:00,"{""attitude_status"": ""believes"", ""truth_status"": ""false"", ""knowledge_status"": ""does_not_know""}",,1.858,"{""attitude_status"":""believes"",""truth_status"":""false"",""knowledge_status"":""does_not_know"",""brief_explanation"":""Nora believes the center is open on Sundays based on generally reliable testimony, but the proposition is actually false, so despite her justified belief she cannot know it.""}",True,"{""attitude_status"": ""believes"", ""truth_status"": ""false"", ""knowledge_status"": ""does_not_know"", ""brief_explanation"": ""Nora believes the center is open on Sundays based on generally reliable testimony, but the proposition is actually false, so despite her justified belief she cannot know it.""}","Nora believes the center is open on Sundays based on generally reliable testimony, but the proposition is actually false, so despite her justified belief she cannot know it.","{""attitude_status"": true, ""truth_status"": true, ""knowledge_status"": true}",3.0,3.0,1.0
btk_012_unjustified_true_belief,belief_acceptance_knowledge,belief_truth_knowledge,,,claude-sonnet-5,2026-07-05T20:20:11.920896+00:00,"{""attitude_status"": ""believes"", ""truth_status"": ""true"", ""knowledge_status"": ""does_not_know""}",,1.82,"{""attitude_status"":""believes"",""truth_status"":""true"",""knowledge_status"":""does_not_know"",""brief_explanation"":""Rachel's belief happens to be true, but without good epistemic evidence it is not justified and thus does not count as knowledge.""}",True,"{""attitude_status"": ""believes"", ""truth_status"": ""true"", ""knowledge_status"": ""does_not_know"", ""brief_explanation"": ""Rachel's belief happens to be true, but without good epistemic evidence it is not justified and thus does not count as knowledge.""}","Rachel's belief happens to be true, but without good epistemic evidence it is not justified and thus does not count as knowledge.","{""attitude_status"": true, ""truth_status"": true, ""knowledge_status"": true}",3.0,3.0,1.0
btk_013_simple_knowledge_air_travel,belief_acceptance_knowledge,belief_truth_knowledge,,,claude-sonnet-5,2026-07-05T20:20:13.741352+00:00,"{""attitude_status"": ""believes"", ""truth_status"": ""true"", ""knowledge_status"": ""knows""}",,2.09,"```json
{
""attitude_status"": ""believes"",
""truth_status"": ""true"",
""knowledge_status"": ""knows"",
""brief_explanation"": ""Mike believes the true proposition based on reliable evidence (a legitimate airline selling tickets), which justifies his knowledge claim.""
}
```",True,"{""attitude_status"": ""believes"", ""truth_status"": ""true"", ""knowledge_status"": ""knows"", ""brief_explanation"": ""Mike believes the true proposition based on reliable evidence (a legitimate airline selling tickets), which justifies his knowledge claim.""}","Mike believes the true proposition based on reliable evidence (a legitimate airline selling tickets), which justifies his knowledge claim.","{""attitude_status"": true, ""truth_status"": true, ""knowledge_status"": true}",3.0,3.0,1.0
btk_014_nonbelief_false_target_misleading_evidence,belief_acceptance_knowledge,belief_truth_knowledge,,,claude-sonnet-5,2026-07-05T20:20:15.831897+00:00,"{""attitude_status"": ""does_not_believe"", ""truth_status"": ""false"", ""knowledge_status"": ""does_not_know""}",,2.288,"{""attitude_status"":""does_not_believe"",""truth_status"":""false"",""knowledge_status"":""does_not_know"",""brief_explanation"":""Jose does not believe Eric's car is red, and this is correct since Eric's car is actually purple, so there is no knowledge claim to assess.""}",True,"{""attitude_status"": ""does_not_believe"", ""truth_status"": ""false"", ""knowledge_status"": ""does_not_know"", ""brief_explanation"": ""Jose does not believe Eric's car is red, and this is correct since Eric's car is actually purple, so there is no knowledge claim to assess.""}","Jose does not believe Eric's car is red, and this is correct since Eric's car is actually purple, so there is no knowledge claim to assess.","{""attitude_status"": true, ""truth_status"": true, ""knowledge_status"": true}",3.0,3.0,1.0
btk_015_nonbelief_false_target,belief_acceptance_knowledge,belief_truth_knowledge,,,claude-sonnet-5,2026-07-05T20:20:18.119978+00:00,"{""attitude_status"": ""does_not_believe"", ""truth_status"": ""false"", ""knowledge_status"": ""does_not_know""}",,1.696,"{""attitude_status"": ""does_not_believe"", ""truth_status"": ""false"", ""knowledge_status"": ""knows"", ""brief_explanation"": ""Layla correctly does not believe the coffee shop has muffins, and since it truly only has coffee and donuts, her belief matches reality, constituting knowledge.""}",True,"{""attitude_status"": ""does_not_believe"", ""truth_status"": ""false"", ""knowledge_status"": ""knows"", ""brief_explanation"": ""Layla correctly does not believe the coffee shop has muffins, and since it truly only has coffee and donuts, her belief matches reality, constituting knowledge.""}","Layla correctly does not believe the coffee shop has muffins, and since it truly only has coffee and donuts, her belief matches reality, constituting knowledge.","{""attitude_status"": true, ""truth_status"": true, ""knowledge_status"": false}",2.0,3.0,0.6666666666666666
btk_016_indeterminate_attitude_false_target,belief_acceptance_knowledge,belief_truth_knowledge,,,claude-sonnet-5,2026-07-05T20:20:19.815835+00:00,"{""attitude_status"": ""indeterminate"", ""truth_status"": ""false"", ""knowledge_status"": ""indeterminate""}",,1.945,"```json
{
""attitude_status"": ""indeterminate"",
""truth_status"": ""false"",
""knowledge_status"": ""does_not_know"",
""brief_explanation"": ""The bakery is actually closed, so the proposition is false, and since it is false Owen cannot know it, though his belief state is unspecified.""
}
```",True,"{""attitude_status"": ""indeterminate"", ""truth_status"": ""false"", ""knowledge_status"": ""does_not_know"", ""brief_explanation"": ""The bakery is actually closed, so the proposition is false, and since it is false Owen cannot know it, though his belief state is unspecified.""}","The bakery is actually closed, so the proposition is false, and since it is false Owen cannot know it, though his belief state is unspecified.","{""attitude_status"": true, ""truth_status"": true, ""knowledge_status"": false}",2.0,3.0,0.6666666666666666
btk_017_belief_indeterminate_truth,belief_acceptance_knowledge,belief_truth_knowledge,,,claude-sonnet-5,2026-07-05T20:20:21.760960+00:00,"{""attitude_status"": ""believes"", ""truth_status"": ""indeterminate"", ""knowledge_status"": ""indeterminate""}",,3.689,"```json
{
""attitude_status"": ""believes"",
""truth_status"": ""indeterminate"",
""knowledge_status"": ""does_not_know"",
""brief_explanation"": ""Mina believes the envelope is in the drawer, but since the scenario does not confirm this is true, her belief cannot count as knowledge.""
}
```",True,"{""attitude_status"": ""believes"", ""truth_status"": ""indeterminate"", ""knowledge_status"": ""does_not_know"", ""brief_explanation"": ""Mina believes the envelope is in the drawer, but since the scenario does not confirm this is true, her belief cannot count as knowledge.""}","Mina believes the envelope is in the drawer, but since the scenario does not confirm this is true, her belief cannot count as knowledge.","{""attitude_status"": true, ""truth_status"": true, ""knowledge_status"": false}",2.0,3.0,0.6666666666666666
btk_018_nonbelief_indeterminate_truth,belief_acceptance_knowledge,belief_truth_knowledge,,,claude-sonnet-5,2026-07-05T20:20:25.449905+00:00,"{""attitude_status"": ""does_not_believe"", ""truth_status"": ""indeterminate"", ""knowledge_status"": ""does_not_know""}",,2.765,"```json
{
""attitude_status"": ""does_not_believe"",
""truth_status"": ""indeterminate"",
""knowledge_status"": ""does_not_know"",
""brief_explanation"": ""Tara disbelieves the proposition, its truth is unspecified, and without belief or justification she cannot know it.""
}
```",True,"{""attitude_status"": ""does_not_believe"", ""truth_status"": ""indeterminate"", ""knowledge_status"": ""does_not_know"", ""brief_explanation"": ""Tara disbelieves the proposition, its truth is unspecified, and without belief or justification she cannot know it.""}","Tara disbelieves the proposition, its truth is unspecified, and without belief or justification she cannot know it.","{""attitude_status"": true, ""truth_status"": true, ""knowledge_status"": true}",3.0,3.0,1.0
