case_id,module,schema_family,variant_id,difficulty,model,timestamp,expected_json,error,latency_s,raw_response,parsed_ok,predicted_json,brief_explanation,field_results_json,points,max_points,score
el_001,epistemic_luck,knowledge_control,,easy,gemini-2.5-pro,2026-07-08T21:59:24.786561+00:00,"{""justification_status"": ""justified"", ""knowledge_status"": ""knows"", ""luck_status"": ""no_epistemic_luck"", ""luck_type"": ""none""}",,6.322,"{
  ""justification_status"": ""justified"",
  ""knowledge_status"": ""knows"",
  ""luck_status"": ""no_epistemic_luck"",
  ""luck_type"": ""none"",
  ""brief_explanation"": ""Alfred's justified true belief is based on reliable, recent testimony from his friend, and there is no knowledge-defeating luck involved.""
}",True,"{""justification_status"": ""justified"", ""knowledge_status"": ""knows"", ""luck_status"": ""no_epistemic_luck"", ""luck_type"": ""none"", ""brief_explanation"": ""Alfred's justified true belief is based on reliable, recent testimony from his friend, and there is no knowledge-defeating luck involved.""}","Alfred's justified true belief is based on reliable, recent testimony from his friend, and there is no knowledge-defeating luck involved.","{""justification_status"": true, ""knowledge_status"": true, ""luck_status"": true, ""luck_type"": true}",6.0,6.0,1.0
el_002,epistemic_luck,knowledge_control,,easy,gemini-2.5-pro,2026-07-08T21:59:31.108874+00:00,"{""justification_status"": ""justified"", ""knowledge_status"": ""knows"", ""luck_status"": ""no_epistemic_luck"", ""luck_type"": ""none""}",,6.389,"{
  ""justification_status"": ""justified"",
  ""knowledge_status"": ""knows"",
  ""luck_status"": ""no_epistemic_luck"",
  ""luck_type"": ""none"",
  ""brief_explanation"": ""Lea knows because her true belief is based on strong, direct evidence from seeing Luke with his car and hearing him discuss its registration, with no intervening or environmental luck.""
}",True,"{""justification_status"": ""justified"", ""knowledge_status"": ""knows"", ""luck_status"": ""no_epistemic_luck"", ""luck_type"": ""none"", ""brief_explanation"": ""Lea knows because her true belief is based on strong, direct evidence from seeing Luke with his car and hearing him discuss its registration, with no intervening or environmental luck.""}","Lea knows because her true belief is based on strong, direct evidence from seeing Luke with his car and hearing him discuss its registration, with no intervening or environmental luck.","{""justification_status"": true, ""knowledge_status"": true, ""luck_status"": true, ""luck_type"": true}",6.0,6.0,1.0
el_003,epistemic_luck,knowledge_control,,easy,gemini-2.5-pro,2026-07-08T21:59:37.498427+00:00,"{""justification_status"": ""justified"", ""knowledge_status"": ""knows"", ""luck_status"": ""no_epistemic_luck"", ""luck_type"": ""none""}",,5.611,"{
  ""justification_status"": ""justified"",
  ""knowledge_status"": ""knows"",
  ""luck_status"": ""no_epistemic_luck"",
  ""luck_type"": ""none"",
  ""brief_explanation"": ""Nina forms a true belief based on a reliable source, the office scheduling system, in a normal environment with no knowledge-defeating luck.""
}",True,"{""justification_status"": ""justified"", ""knowledge_status"": ""knows"", ""luck_status"": ""no_epistemic_luck"", ""luck_type"": ""none"", ""brief_explanation"": ""Nina forms a true belief based on a reliable source, the office scheduling system, in a normal environment with no knowledge-defeating luck.""}","Nina forms a true belief based on a reliable source, the office scheduling system, in a normal environment with no knowledge-defeating luck.","{""justification_status"": true, ""knowledge_status"": true, ""luck_status"": true, ""luck_type"": true}",6.0,6.0,1.0
el_004,epistemic_luck,knowledge_control,,easy,gemini-2.5-pro,2026-07-08T21:59:43.109358+00:00,"{""justification_status"": ""justified"", ""knowledge_status"": ""knows"", ""luck_status"": ""no_epistemic_luck"", ""luck_type"": ""none""}",,6.07,"{
  ""justification_status"": ""justified"",
  ""knowledge_status"": ""knows"",
  ""luck_status"": ""no_epistemic_luck"",
  ""luck_type"": ""none"",
  ""brief_explanation"": ""Rosa's true belief is based on multiple reliable and corroborating sources of evidence, including a functioning scanner and a physical label, constituting a standard case of knowledge.""
}",True,"{""justification_status"": ""justified"", ""knowledge_status"": ""knows"", ""luck_status"": ""no_epistemic_luck"", ""luck_type"": ""none"", ""brief_explanation"": ""Rosa's true belief is based on multiple reliable and corroborating sources of evidence, including a functioning scanner and a physical label, constituting a standard case of knowledge.""}","Rosa's true belief is based on multiple reliable and corroborating sources of evidence, including a functioning scanner and a physical label, constituting a standard case of knowledge.","{""justification_status"": true, ""knowledge_status"": true, ""luck_status"": true, ""luck_type"": true}",6.0,6.0,1.0
el_005,epistemic_luck,knowledge_control,,easy,gemini-2.5-pro,2026-07-08T21:59:49.179799+00:00,"{""justification_status"": ""justified"", ""knowledge_status"": ""knows"", ""luck_status"": ""no_epistemic_luck"", ""luck_type"": ""none""}",,6.328,"{
  ""justification_status"": ""justified"",
  ""knowledge_status"": ""knows"",
  ""luck_status"": ""no_epistemic_luck"",
  ""luck_type"": ""none"",
  ""brief_explanation"": ""Marcus forms a true belief based on strong, corroborating evidence from two reliable sources, with no knowledge-defeating luck present.""
}",True,"{""justification_status"": ""justified"", ""knowledge_status"": ""knows"", ""luck_status"": ""no_epistemic_luck"", ""luck_type"": ""none"", ""brief_explanation"": ""Marcus forms a true belief based on strong, corroborating evidence from two reliable sources, with no knowledge-defeating luck present.""}","Marcus forms a true belief based on strong, corroborating evidence from two reliable sources, with no knowledge-defeating luck present.","{""justification_status"": true, ""knowledge_status"": true, ""luck_status"": true, ""luck_type"": true}",6.0,6.0,1.0
el_006,epistemic_luck,lucky_guess,,easy,gemini-2.5-pro,2026-07-08T21:59:55.508386+00:00,"{""justification_status"": ""unjustified"", ""knowledge_status"": ""does_not_know"", ""luck_status"": ""epistemic_luck_present"", ""luck_type"": ""lucky_guess""}",,11.235,"{
  ""justification_status"": ""unjustified"",
  ""knowledge_status"": ""does_not_know"",
  ""luck_status"": ""epistemic_luck_present"",
  ""luck_type"": ""lucky_guess"",
  ""brief_explanation"": ""William's true belief is based on wishful thinking, not evidence, making it an unjustified lucky guess rather than knowledge.""
}",True,"{""justification_status"": ""unjustified"", ""knowledge_status"": ""does_not_know"", ""luck_status"": ""epistemic_luck_present"", ""luck_type"": ""lucky_guess"", ""brief_explanation"": ""William's true belief is based on wishful thinking, not evidence, making it an unjustified lucky guess rather than knowledge.""}","William's true belief is based on wishful thinking, not evidence, making it an unjustified lucky guess rather than knowledge.","{""justification_status"": true, ""knowledge_status"": true, ""luck_status"": true, ""luck_type"": true}",6.0,6.0,1.0
el_007,epistemic_luck,lucky_guess,,easy,gemini-2.5-pro,2026-07-08T22:00:06.743025+00:00,"{""justification_status"": ""unjustified"", ""knowledge_status"": ""does_not_know"", ""luck_status"": ""epistemic_luck_present"", ""luck_type"": ""lucky_guess""}",,6.444,"{
  ""justification_status"": ""unjustified"",
  ""knowledge_status"": ""does_not_know"",
  ""luck_status"": ""epistemic_luck_present"",
  ""luck_type"": ""lucky_guess"",
  ""brief_explanation"": ""Michelle's belief is true but based on a whim rather than evidence, making it an unjustified lucky guess.""
}",True,"{""justification_status"": ""unjustified"", ""knowledge_status"": ""does_not_know"", ""luck_status"": ""epistemic_luck_present"", ""luck_type"": ""lucky_guess"", ""brief_explanation"": ""Michelle's belief is true but based on a whim rather than evidence, making it an unjustified lucky guess.""}","Michelle's belief is true but based on a whim rather than evidence, making it an unjustified lucky guess.","{""justification_status"": true, ""knowledge_status"": true, ""luck_status"": true, ""luck_type"": true}",6.0,6.0,1.0
el_008,epistemic_luck,lucky_guess,,easy,gemini-2.5-pro,2026-07-08T22:00:13.187596+00:00,"{""justification_status"": ""unjustified"", ""knowledge_status"": ""does_not_know"", ""luck_status"": ""epistemic_luck_present"", ""luck_type"": ""lucky_guess""}",,7.509,"{
  ""justification_status"": ""unjustified"",
  ""knowledge_status"": ""does_not_know"",
  ""luck_status"": ""epistemic_luck_present"",
  ""luck_type"": ""lucky_guess"",
  ""brief_explanation"": ""Omar's belief is an unjustified lucky guess that happens to be true.""
}",True,"{""justification_status"": ""unjustified"", ""knowledge_status"": ""does_not_know"", ""luck_status"": ""epistemic_luck_present"", ""luck_type"": ""lucky_guess"", ""brief_explanation"": ""Omar's belief is an unjustified lucky guess that happens to be true.""}",Omar's belief is an unjustified lucky guess that happens to be true.,"{""justification_status"": true, ""knowledge_status"": true, ""luck_status"": true, ""luck_type"": true}",6.0,6.0,1.0
el_009,epistemic_luck,intervening_luck,,medium,gemini-2.5-pro,2026-07-08T22:00:20.696936+00:00,"{""justification_status"": ""justified"", ""knowledge_status"": ""does_not_know"", ""luck_status"": ""epistemic_luck_present"", ""luck_type"": ""intervening_luck""}",,12.698,"{
  ""justification_status"": ""justified"",
  ""knowledge_status"": ""does_not_know"",
  ""luck_status"": ""epistemic_luck_present"",
  ""luck_type"": ""intervening_luck"",
  ""brief_explanation"": ""Liam's justified belief is true by luck because his evidence points to a forged copy, while the proposition is coincidentally made true by a different, real signed copy he is unaware of.""
}",True,"{""justification_status"": ""justified"", ""knowledge_status"": ""does_not_know"", ""luck_status"": ""epistemic_luck_present"", ""luck_type"": ""intervening_luck"", ""brief_explanation"": ""Liam's justified belief is true by luck because his evidence points to a forged copy, while the proposition is coincidentally made true by a different, real signed copy he is unaware of.""}","Liam's justified belief is true by luck because his evidence points to a forged copy, while the proposition is coincidentally made true by a different, real signed copy he is unaware of.","{""justification_status"": true, ""knowledge_status"": true, ""luck_status"": true, ""luck_type"": true}",6.0,6.0,1.0
el_010,epistemic_luck,intervening_luck,,medium,gemini-2.5-pro,2026-07-08T22:00:33.395293+00:00,"{""justification_status"": ""justified"", ""knowledge_status"": ""does_not_know"", ""luck_status"": ""epistemic_luck_present"", ""luck_type"": ""intervening_luck""}",,9.004,"{
  ""justification_status"": ""justified"",
  ""knowledge_status"": ""does_not_know"",
  ""luck_status"": ""epistemic_luck_present"",
  ""luck_type"": ""intervening_luck"",
  ""brief_explanation"": ""Ava has a justified true belief, but she does not have knowledge because her belief is true due to a lucky coincidence (the presence of a hidden deer) and not because of her evidence (the statue).""
}",True,"{""justification_status"": ""justified"", ""knowledge_status"": ""does_not_know"", ""luck_status"": ""epistemic_luck_present"", ""luck_type"": ""intervening_luck"", ""brief_explanation"": ""Ava has a justified true belief, but she does not have knowledge because her belief is true due to a lucky coincidence (the presence of a hidden deer) and not because of her evidence (the statue).""}","Ava has a justified true belief, but she does not have knowledge because her belief is true due to a lucky coincidence (the presence of a hidden deer) and not because of her evidence (the statue).","{""justification_status"": true, ""knowledge_status"": true, ""luck_status"": true, ""luck_type"": true}",6.0,6.0,1.0
el_011,epistemic_luck,intervening_luck,,medium,gemini-2.5-pro,2026-07-08T22:00:42.399574+00:00,"{""justification_status"": ""justified"", ""knowledge_status"": ""does_not_know"", ""luck_status"": ""epistemic_luck_present"", ""luck_type"": ""intervening_luck""}",,9.744,"{
  ""justification_status"": ""justified"",
  ""knowledge_status"": ""does_not_know"",
  ""luck_status"": ""epistemic_luck_present"",
  ""luck_type"": ""intervening_luck"",
  ""brief_explanation"": ""Julian's justified belief is true by luck, as his evidence points to Robert's pear, but the proposition is made true by an unknown shopper's apple.""
}",True,"{""justification_status"": ""justified"", ""knowledge_status"": ""does_not_know"", ""luck_status"": ""epistemic_luck_present"", ""luck_type"": ""intervening_luck"", ""brief_explanation"": ""Julian's justified belief is true by luck, as his evidence points to Robert's pear, but the proposition is made true by an unknown shopper's apple.""}","Julian's justified belief is true by luck, as his evidence points to Robert's pear, but the proposition is made true by an unknown shopper's apple.","{""justification_status"": true, ""knowledge_status"": true, ""luck_status"": true, ""luck_type"": true}",6.0,6.0,1.0
el_012,epistemic_luck,intervening_luck,,medium,gemini-2.5-pro,2026-07-08T22:00:52.143584+00:00,"{""justification_status"": ""justified"", ""knowledge_status"": ""does_not_know"", ""luck_status"": ""epistemic_luck_present"", ""luck_type"": ""intervening_luck""}",,11.457,"{
  ""justification_status"": ""justified"",
  ""knowledge_status"": ""does_not_know"",
  ""luck_status"": ""epistemic_luck_present"",
  ""luck_type"": ""intervening_luck"",
  ""brief_explanation"": ""Vicky's justified belief is true by a lucky coincidence, as her evidence (the actor) is disconnected from what makes her belief true (the real officer).""
}",True,"{""justification_status"": ""justified"", ""knowledge_status"": ""does_not_know"", ""luck_status"": ""epistemic_luck_present"", ""luck_type"": ""intervening_luck"", ""brief_explanation"": ""Vicky's justified belief is true by a lucky coincidence, as her evidence (the actor) is disconnected from what makes her belief true (the real officer).""}","Vicky's justified belief is true by a lucky coincidence, as her evidence (the actor) is disconnected from what makes her belief true (the real officer).","{""justification_status"": true, ""knowledge_status"": true, ""luck_status"": true, ""luck_type"": true}",6.0,6.0,1.0
el_013,epistemic_luck,intervening_luck,,medium,gemini-2.5-pro,2026-07-08T22:01:03.601201+00:00,"{""justification_status"": ""justified"", ""knowledge_status"": ""does_not_know"", ""luck_status"": ""epistemic_luck_present"", ""luck_type"": ""intervening_luck""}",,11.187,"{
  ""justification_status"": ""justified"",
  ""knowledge_status"": ""does_not_know"",
  ""luck_status"": ""epistemic_luck_present"",
  ""luck_type"": ""intervening_luck"",
  ""brief_explanation"": ""Chris has a justified true belief, but his justification (the fake parrot) is disconnected from what makes his belief true (the real parrot at home).""
}",True,"{""justification_status"": ""justified"", ""knowledge_status"": ""does_not_know"", ""luck_status"": ""epistemic_luck_present"", ""luck_type"": ""intervening_luck"", ""brief_explanation"": ""Chris has a justified true belief, but his justification (the fake parrot) is disconnected from what makes his belief true (the real parrot at home).""}","Chris has a justified true belief, but his justification (the fake parrot) is disconnected from what makes his belief true (the real parrot at home).","{""justification_status"": true, ""knowledge_status"": true, ""luck_status"": true, ""luck_type"": true}",6.0,6.0,1.0
el_014,epistemic_luck,intervening_luck,,medium,gemini-2.5-pro,2026-07-08T22:01:14.787911+00:00,"{""justification_status"": ""justified"", ""knowledge_status"": ""does_not_know"", ""luck_status"": ""epistemic_luck_present"", ""luck_type"": ""intervening_luck""}",,9.6,"{
  ""justification_status"": ""justified"",
  ""knowledge_status"": ""does_not_know"",
  ""luck_status"": ""epistemic_luck_present"",
  ""luck_type"": ""intervening_luck"",
  ""brief_explanation"": ""Kimmy's justified belief is true by luck because her evidence is a decoy, and the belief is only true because of a different, unseen beaver.""
}",True,"{""justification_status"": ""justified"", ""knowledge_status"": ""does_not_know"", ""luck_status"": ""epistemic_luck_present"", ""luck_type"": ""intervening_luck"", ""brief_explanation"": ""Kimmy's justified belief is true by luck because her evidence is a decoy, and the belief is only true because of a different, unseen beaver.""}","Kimmy's justified belief is true by luck because her evidence is a decoy, and the belief is only true because of a different, unseen beaver.","{""justification_status"": true, ""knowledge_status"": true, ""luck_status"": true, ""luck_type"": true}",6.0,6.0,1.0
