case_id,module,schema_family,variant_id,difficulty,model,timestamp,expected_json,error,latency_s,raw_response,parsed_ok,predicted_json,brief_explanation,field_results_json,points,max_points,score
def_001_package_placebo,defeaters,placebo_control,,,gemini-2.5-pro,2026-07-08T04:38:40.707005+00:00,"{""defeater_present"": ""no"", ""defeater_type"": ""none_placebo"", ""defeater_strength"": ""none"", ""support_relation"": ""no_impact"", ""belief_revision"": ""maintain_target_belief""}",,6.609,"{
  ""defeater_present"": ""no"",
  ""defeater_type"": ""none_placebo"",
  ""defeater_strength"": ""none"",
  ""support_relation"": ""target_better_supported"",
  ""belief_revision"": ""maintain_target_belief"",
  ""brief_explanation"": ""The color of the delivery truck is irrelevant to the evidence provided by the tracking page that the package was delivered.""
}",True,"{""defeater_present"": ""no"", ""defeater_type"": ""none_placebo"", ""defeater_strength"": ""none"", ""support_relation"": ""target_better_supported"", ""belief_revision"": ""maintain_target_belief"", ""brief_explanation"": ""The color of the delivery truck is irrelevant to the evidence provided by the tracking page that the package was delivered.""}",The color of the delivery truck is irrelevant to the evidence provided by the tracking page that the package was delivered.,"{""defeater_present"": true, ""defeater_type"": true, ""defeater_strength"": true, ""support_relation"": false, ""belief_revision"": true, ""strength_support_coherence"": false, ""support_revision_coherence"": true}",5.0,7.0,0.7142857142857143
def_002_package_rebutting,defeaters,rebutting,,,gemini-2.5-pro,2026-07-08T04:38:47.316581+00:00,"{""defeater_present"": ""yes"", ""defeater_type"": ""rebutting_defeater"", ""defeater_strength"": ""strong"", ""support_relation"": ""negation_better_supported"", ""belief_revision"": ""believe_negation""}",,7.71,"{
  ""defeater_present"": ""yes"",
  ""defeater_type"": ""rebutting_defeater"",
  ""defeater_strength"": ""strong"",
  ""support_relation"": ""negation_better_supported"",
  ""belief_revision"": ""believe_negation"",
  ""brief_explanation"": ""The later notification from the same company is strong evidence that the package has not arrived, directly rebutting the initial evidence.""
}",True,"{""defeater_present"": ""yes"", ""defeater_type"": ""rebutting_defeater"", ""defeater_strength"": ""strong"", ""support_relation"": ""negation_better_supported"", ""belief_revision"": ""believe_negation"", ""brief_explanation"": ""The later notification from the same company is strong evidence that the package has not arrived, directly rebutting the initial evidence.""}","The later notification from the same company is strong evidence that the package has not arrived, directly rebutting the initial evidence.","{""defeater_present"": true, ""defeater_type"": true, ""defeater_strength"": true, ""support_relation"": true, ""belief_revision"": true, ""strength_support_coherence"": true, ""support_revision_coherence"": true}",7.0,7.0,1.0
def_003_package_undercutting,defeaters,undercutting,,,gemini-2.5-pro,2026-07-08T04:38:55.027153+00:00,"{""defeater_present"": ""yes"", ""defeater_type"": ""undercutting_defeater"", ""defeater_strength"": ""moderate"", ""support_relation"": ""equal_support"", ""belief_revision"": ""suspend_judgment""}",,9.588,"{
  ""defeater_present"": ""yes"",
  ""defeater_type"": ""undercutting_defeater"",
  ""defeater_strength"": ""moderate"",
  ""support_relation"": ""equal_support"",
  ""belief_revision"": ""suspend_judgment"",
  ""brief_explanation"": ""The new information undermines the reliability of the tracking notice as evidence, leaving Ana with no reason to favor the proposition that the package arrived over its negation.""
}",True,"{""defeater_present"": ""yes"", ""defeater_type"": ""undercutting_defeater"", ""defeater_strength"": ""moderate"", ""support_relation"": ""equal_support"", ""belief_revision"": ""suspend_judgment"", ""brief_explanation"": ""The new information undermines the reliability of the tracking notice as evidence, leaving Ana with no reason to favor the proposition that the package arrived over its negation.""}","The new information undermines the reliability of the tracking notice as evidence, leaving Ana with no reason to favor the proposition that the package arrived over its negation.","{""defeater_present"": true, ""defeater_type"": true, ""defeater_strength"": true, ""support_relation"": true, ""belief_revision"": true, ""strength_support_coherence"": true, ""support_revision_coherence"": true}",7.0,7.0,1.0
def_004_dolphin_placebo,defeaters,placebo_control,,,gemini-2.5-pro,2026-07-08T04:39:04.615203+00:00,"{""defeater_present"": ""no"", ""defeater_type"": ""none_placebo"", ""defeater_strength"": ""none"", ""support_relation"": ""no_impact"", ""belief_revision"": ""maintain_target_belief""}",,6.188,"{
  ""defeater_present"": ""no"",
  ""defeater_type"": ""none_placebo"",
  ""defeater_strength"": ""none"",
  ""support_relation"": ""target_better_supported"",
  ""belief_revision"": ""maintain_target_belief"",
  ""brief_explanation"": ""The new information that pelicans are flying nearby is entirely irrelevant to the initial perceptual evidence for a dolphin being in the water.""
}",True,"{""defeater_present"": ""no"", ""defeater_type"": ""none_placebo"", ""defeater_strength"": ""none"", ""support_relation"": ""target_better_supported"", ""belief_revision"": ""maintain_target_belief"", ""brief_explanation"": ""The new information that pelicans are flying nearby is entirely irrelevant to the initial perceptual evidence for a dolphin being in the water.""}",The new information that pelicans are flying nearby is entirely irrelevant to the initial perceptual evidence for a dolphin being in the water.,"{""defeater_present"": true, ""defeater_type"": true, ""defeater_strength"": true, ""support_relation"": false, ""belief_revision"": true, ""strength_support_coherence"": false, ""support_revision_coherence"": true}",5.0,7.0,0.7142857142857143
def_005_dolphin_rebutting,defeaters,rebutting,,,gemini-2.5-pro,2026-07-08T04:39:10.803662+00:00,"{""defeater_present"": ""yes"", ""defeater_type"": ""rebutting_defeater"", ""defeater_strength"": ""strong"", ""support_relation"": ""negation_better_supported"", ""belief_revision"": ""believe_negation""}",,7.909,"{
  ""defeater_present"": ""yes"",
  ""defeater_type"": ""rebutting_defeater"",
  ""defeater_strength"": ""strong"",
  ""support_relation"": ""negation_better_supported"",
  ""belief_revision"": ""believe_negation"",
  ""brief_explanation"": ""The testimony from a reliable expert directly contradicts the agent's initial perception, providing strong evidence for the negation of the proposition.""
}",True,"{""defeater_present"": ""yes"", ""defeater_type"": ""rebutting_defeater"", ""defeater_strength"": ""strong"", ""support_relation"": ""negation_better_supported"", ""belief_revision"": ""believe_negation"", ""brief_explanation"": ""The testimony from a reliable expert directly contradicts the agent's initial perception, providing strong evidence for the negation of the proposition.""}","The testimony from a reliable expert directly contradicts the agent's initial perception, providing strong evidence for the negation of the proposition.","{""defeater_present"": true, ""defeater_type"": true, ""defeater_strength"": true, ""support_relation"": true, ""belief_revision"": true, ""strength_support_coherence"": true, ""support_revision_coherence"": true}",7.0,7.0,1.0
def_006_dolphin_higher_order,defeaters,higher_order,,,gemini-2.5-pro,2026-07-08T04:39:18.712883+00:00,"{""defeater_present"": ""yes"", ""defeater_type"": ""higher_order_defeater"", ""defeater_strength"": ""moderate"", ""support_relation"": ""equal_support"", ""belief_revision"": ""suspend_judgment""}",,11.708,"{
  ""defeater_present"": ""yes"",
  ""defeater_type"": ""higher_order_defeater"",
  ""defeater_strength"": ""moderate"",
  ""support_relation"": ""equal_support"",
  ""belief_revision"": ""suspend_judgment"",
  ""brief_explanation"": ""The information that Jerry might be hallucinating gives him reason to doubt the reliability of his perception, undermining his only evidence for p and making it rational to suspend judgment.""
}",True,"{""defeater_present"": ""yes"", ""defeater_type"": ""higher_order_defeater"", ""defeater_strength"": ""moderate"", ""support_relation"": ""equal_support"", ""belief_revision"": ""suspend_judgment"", ""brief_explanation"": ""The information that Jerry might be hallucinating gives him reason to doubt the reliability of his perception, undermining his only evidence for p and making it rational to suspend judgment.""}","The information that Jerry might be hallucinating gives him reason to doubt the reliability of his perception, undermining his only evidence for p and making it rational to suspend judgment.","{""defeater_present"": true, ""defeater_type"": true, ""defeater_strength"": true, ""support_relation"": true, ""belief_revision"": true, ""strength_support_coherence"": true, ""support_revision_coherence"": true}",7.0,7.0,1.0
def_007_burrito_placebo,defeaters,placebo_control,,,gemini-2.5-pro,2026-07-08T04:39:30.421034+00:00,"{""defeater_present"": ""no"", ""defeater_type"": ""none_placebo"", ""defeater_strength"": ""none"", ""support_relation"": ""no_impact"", ""belief_revision"": ""maintain_target_belief""}",,7.225,"{
  ""defeater_present"": ""no"",
  ""defeater_type"": ""none_placebo"",
  ""defeater_strength"": ""none"",
  ""support_relation"": ""no_impact"",
  ""belief_revision"": ""maintain_target_belief"",
  ""brief_explanation"": ""The distance to the restaurant is irrelevant to the size of its burritos, so the new information has no epistemic effect on the initial support.""
}",True,"{""defeater_present"": ""no"", ""defeater_type"": ""none_placebo"", ""defeater_strength"": ""none"", ""support_relation"": ""no_impact"", ""belief_revision"": ""maintain_target_belief"", ""brief_explanation"": ""The distance to the restaurant is irrelevant to the size of its burritos, so the new information has no epistemic effect on the initial support.""}","The distance to the restaurant is irrelevant to the size of its burritos, so the new information has no epistemic effect on the initial support.","{""defeater_present"": true, ""defeater_type"": true, ""defeater_strength"": true, ""support_relation"": true, ""belief_revision"": true, ""strength_support_coherence"": true, ""support_revision_coherence"": true}",7.0,7.0,1.0
def_008_burrito_rebutting,defeaters,rebutting,,,gemini-2.5-pro,2026-07-08T04:39:37.645697+00:00,"{""defeater_present"": ""yes"", ""defeater_type"": ""rebutting_defeater"", ""defeater_strength"": ""strong"", ""support_relation"": ""negation_better_supported"", ""belief_revision"": ""believe_negation""}",,7.686,"{
  ""defeater_present"": ""yes"",
  ""defeater_type"": ""rebutting_defeater"",
  ""defeater_strength"": ""strong"",
  ""support_relation"": ""negation_better_supported"",
  ""belief_revision"": ""believe_negation"",
  ""brief_explanation"": ""The new information provides strong photographic evidence that directly contradicts the initial testimony, making the negation of the proposition better supported.""
}",True,"{""defeater_present"": ""yes"", ""defeater_type"": ""rebutting_defeater"", ""defeater_strength"": ""strong"", ""support_relation"": ""negation_better_supported"", ""belief_revision"": ""believe_negation"", ""brief_explanation"": ""The new information provides strong photographic evidence that directly contradicts the initial testimony, making the negation of the proposition better supported.""}","The new information provides strong photographic evidence that directly contradicts the initial testimony, making the negation of the proposition better supported.","{""defeater_present"": true, ""defeater_type"": true, ""defeater_strength"": true, ""support_relation"": true, ""belief_revision"": true, ""strength_support_coherence"": true, ""support_revision_coherence"": true}",7.0,7.0,1.0
def_009_burrito_undercutting,defeaters,undercutting,,,gemini-2.5-pro,2026-07-08T04:39:45.331787+00:00,"{""defeater_present"": ""yes"", ""defeater_type"": ""undercutting_defeater"", ""defeater_strength"": ""moderate"", ""support_relation"": ""equal_support"", ""belief_revision"": ""suspend_judgment""}",,13.708,"{
  ""defeater_present"": ""yes"",
  ""defeater_type"": ""undercutting_defeater"",
  ""defeater_strength"": ""moderate"",
  ""support_relation"": ""equal_support"",
  ""belief_revision"": ""suspend_judgment"",
  ""brief_explanation"": ""The new information that the friend is a liar on this topic is an undercutting defeater that removes the only reason for the belief, requiring suspension of judgment.""
}",True,"{""defeater_present"": ""yes"", ""defeater_type"": ""undercutting_defeater"", ""defeater_strength"": ""moderate"", ""support_relation"": ""equal_support"", ""belief_revision"": ""suspend_judgment"", ""brief_explanation"": ""The new information that the friend is a liar on this topic is an undercutting defeater that removes the only reason for the belief, requiring suspension of judgment.""}","The new information that the friend is a liar on this topic is an undercutting defeater that removes the only reason for the belief, requiring suspension of judgment.","{""defeater_present"": true, ""defeater_type"": true, ""defeater_strength"": true, ""support_relation"": true, ""belief_revision"": true, ""strength_support_coherence"": true, ""support_revision_coherence"": true}",7.0,7.0,1.0
def_010_antarctica_placebo,defeaters,placebo_control,,,gemini-2.5-pro,2026-07-08T04:39:59.040122+00:00,"{""defeater_present"": ""no"", ""defeater_type"": ""none_placebo"", ""defeater_strength"": ""none"", ""support_relation"": ""no_impact"", ""belief_revision"": ""maintain_target_belief""}",,8.061,"{
  ""defeater_present"": ""no"",
  ""defeater_type"": ""none_placebo"",
  ""defeater_strength"": ""none"",
  ""support_relation"": ""no_impact"",
  ""belief_revision"": ""maintain_target_belief"",
  ""brief_explanation"": ""The color of a geography textbook has no evidential bearing on the existence of Antarctica.""
}",True,"{""defeater_present"": ""no"", ""defeater_type"": ""none_placebo"", ""defeater_strength"": ""none"", ""support_relation"": ""no_impact"", ""belief_revision"": ""maintain_target_belief"", ""brief_explanation"": ""The color of a geography textbook has no evidential bearing on the existence of Antarctica.""}",The color of a geography textbook has no evidential bearing on the existence of Antarctica.,"{""defeater_present"": true, ""defeater_type"": true, ""defeater_strength"": true, ""support_relation"": true, ""belief_revision"": true, ""strength_support_coherence"": true, ""support_revision_coherence"": true}",7.0,7.0,1.0
