case_id,module,schema_family,variant_id,difficulty,model,timestamp,expected_json,error,latency_s,raw_response,parsed_ok,predicted_json,brief_explanation,field_results_json,points,max_points,score
btk_001_false_belief,belief_acceptance_knowledge,belief_truth_knowledge,,,gemini-2.5-flash-lite,2026-07-09T02:39:42.113772+00:00,"{""attitude_status"": ""believes"", ""truth_status"": ""false"", ""knowledge_status"": ""does_not_know""}",,0.643,"{
  ""attitude_status"": ""believes"",
  ""truth_status"": ""false"",
  ""knowledge_status"": ""does_not_know"",
  ""brief_explanation"": ""Jack believes the proposition, but the proposition is false, so he does not know.""
}",True,"{""attitude_status"": ""believes"", ""truth_status"": ""false"", ""knowledge_status"": ""does_not_know"", ""brief_explanation"": ""Jack believes the proposition, but the proposition is false, so he does not know.""}","Jack believes the proposition, but the proposition is false, so he does not know.","{""attitude_status"": true, ""truth_status"": true, ""knowledge_status"": true}",3.0,3.0,1.0
btk_002_true_without_belief,belief_acceptance_knowledge,belief_truth_knowledge,,,gemini-2.5-flash-lite,2026-07-09T02:39:42.757259+00:00,"{""attitude_status"": ""does_not_believe"", ""truth_status"": ""true"", ""knowledge_status"": ""does_not_know""}",,0.484,"{
  ""attitude_status"": ""does_not_believe"",
  ""truth_status"": ""true"",
  ""knowledge_status"": ""does_not_know"",
  ""brief_explanation"": ""Bill does not believe the true proposition, so he does not know it.""
}",True,"{""attitude_status"": ""does_not_believe"", ""truth_status"": ""true"", ""knowledge_status"": ""does_not_know"", ""brief_explanation"": ""Bill does not believe the true proposition, so he does not know it.""}","Bill does not believe the true proposition, so he does not know it.","{""attitude_status"": true, ""truth_status"": true, ""knowledge_status"": true}",3.0,3.0,1.0
btk_003_knowledge_with_distractor,belief_acceptance_knowledge,belief_truth_knowledge,,,gemini-2.5-flash-lite,2026-07-09T02:39:43.240958+00:00,"{""attitude_status"": ""believes"", ""truth_status"": ""true"", ""knowledge_status"": ""knows""}",,0.582,"{
  ""attitude_status"": ""believes"",
  ""truth_status"": ""true"",
  ""knowledge_status"": ""knows"",
  ""brief_explanation"": ""Brooke believes the proposition, the proposition is true, and her belief is supported by strong evidence, thus she knows.""
}",True,"{""attitude_status"": ""believes"", ""truth_status"": ""true"", ""knowledge_status"": ""knows"", ""brief_explanation"": ""Brooke believes the proposition, the proposition is true, and her belief is supported by strong evidence, thus she knows.""}","Brooke believes the proposition, the proposition is true, and her belief is supported by strong evidence, thus she knows.","{""attitude_status"": true, ""truth_status"": true, ""knowledge_status"": true}",3.0,3.0,1.0
btk_004_justified_false_belief,belief_acceptance_knowledge,belief_truth_knowledge,,,gemini-2.5-flash-lite,2026-07-09T02:39:43.823359+00:00,"{""attitude_status"": ""believes"", ""truth_status"": ""false"", ""knowledge_status"": ""does_not_know""}",,0.588,"{
  ""attitude_status"": ""believes"",
  ""truth_status"": ""false"",
  ""knowledge_status"": ""does_not_know"",
  ""brief_explanation"": ""Adam believes the proposition, but the proposition is false, so he does not know.""
}",True,"{""attitude_status"": ""believes"", ""truth_status"": ""false"", ""knowledge_status"": ""does_not_know"", ""brief_explanation"": ""Adam believes the proposition, but the proposition is false, so he does not know.""}","Adam believes the proposition, but the proposition is false, so he does not know.","{""attitude_status"": true, ""truth_status"": true, ""knowledge_status"": true}",3.0,3.0,1.0
btk_005_justification_without_belief,belief_acceptance_knowledge,belief_truth_knowledge,,,gemini-2.5-flash-lite,2026-07-09T02:39:44.411256+00:00,"{""attitude_status"": ""does_not_believe"", ""truth_status"": ""true"", ""knowledge_status"": ""does_not_know""}",,0.466,"{
  ""attitude_status"": ""does_not_believe"",
  ""truth_status"": ""true"",
  ""knowledge_status"": ""does_not_know"",
  ""brief_explanation"": ""Jill does not believe the true proposition, so she does not know it.""
}",True,"{""attitude_status"": ""does_not_believe"", ""truth_status"": ""true"", ""knowledge_status"": ""does_not_know"", ""brief_explanation"": ""Jill does not believe the true proposition, so she does not know it.""}","Jill does not believe the true proposition, so she does not know it.","{""attitude_status"": true, ""truth_status"": true, ""knowledge_status"": true}",3.0,3.0,1.0
btk_006_unjustified_false_belief,belief_acceptance_knowledge,belief_truth_knowledge,,,gemini-2.5-flash-lite,2026-07-09T02:39:44.877861+00:00,"{""attitude_status"": ""believes"", ""truth_status"": ""false"", ""knowledge_status"": ""does_not_know""}",,0.527,"{
  ""attitude_status"": ""believes"",
  ""truth_status"": ""false"",
  ""knowledge_status"": ""does_not_know"",
  ""brief_explanation"": ""Veronica believes the proposition, but it is false, so she does not know it.""
}",True,"{""attitude_status"": ""believes"", ""truth_status"": ""false"", ""knowledge_status"": ""does_not_know"", ""brief_explanation"": ""Veronica believes the proposition, but it is false, so she does not know it.""}","Veronica believes the proposition, but it is false, so she does not know it.","{""attitude_status"": true, ""truth_status"": true, ""knowledge_status"": true}",3.0,3.0,1.0
btk_007_simple_knowledge,belief_acceptance_knowledge,belief_truth_knowledge,,,gemini-2.5-flash-lite,2026-07-09T02:39:45.404980+00:00,"{""attitude_status"": ""believes"", ""truth_status"": ""true"", ""knowledge_status"": ""knows""}",,0.599,"{
  ""attitude_status"": ""believes"",
  ""truth_status"": ""true"",
  ""knowledge_status"": ""knows"",
  ""brief_explanation"": ""Mark believes the proposition, the proposition is true, and he has a reliable source confirming it, so he knows.""
}",True,"{""attitude_status"": ""believes"", ""truth_status"": ""true"", ""knowledge_status"": ""knows"", ""brief_explanation"": ""Mark believes the proposition, the proposition is true, and he has a reliable source confirming it, so he knows.""}","Mark believes the proposition, the proposition is true, and he has a reliable source confirming it, so he knows.","{""attitude_status"": true, ""truth_status"": true, ""knowledge_status"": true}",3.0,3.0,1.0
btk_008_false_belief_with_irrelevant_evidence,belief_acceptance_knowledge,belief_truth_knowledge,,,gemini-2.5-flash-lite,2026-07-09T02:39:46.004120+00:00,"{""attitude_status"": ""believes"", ""truth_status"": ""false"", ""knowledge_status"": ""does_not_know""}",,0.544,"{
  ""attitude_status"": ""believes"",
  ""truth_status"": ""false"",
  ""knowledge_status"": ""does_not_know"",
  ""brief_explanation"": ""Jane believes the proposition, but it is false, so she does not know it.""
}",True,"{""attitude_status"": ""believes"", ""truth_status"": ""false"", ""knowledge_status"": ""does_not_know"", ""brief_explanation"": ""Jane believes the proposition, but it is false, so she does not know it.""}","Jane believes the proposition, but it is false, so she does not know it.","{""attitude_status"": true, ""truth_status"": true, ""knowledge_status"": true}",3.0,3.0,1.0
btk_009_rejection_of_true_proposition,belief_acceptance_knowledge,belief_truth_knowledge,,,gemini-2.5-flash-lite,2026-07-09T02:39:46.547836+00:00,"{""attitude_status"": ""does_not_believe"", ""truth_status"": ""true"", ""knowledge_status"": ""does_not_know""}",,0.555,"{
  ""attitude_status"": ""does_not_believe"",
  ""truth_status"": ""true"",
  ""knowledge_status"": ""does_not_know"",
  ""brief_explanation"": ""Noah does not believe the true proposition that Italy is in Europe, despite having good reasons, and therefore does not know it.""
}",True,"{""attitude_status"": ""does_not_believe"", ""truth_status"": ""true"", ""knowledge_status"": ""does_not_know"", ""brief_explanation"": ""Noah does not believe the true proposition that Italy is in Europe, despite having good reasons, and therefore does not know it.""}","Noah does not believe the true proposition that Italy is in Europe, despite having good reasons, and therefore does not know it.","{""attitude_status"": true, ""truth_status"": true, ""knowledge_status"": true}",3.0,3.0,1.0
btk_010_indeterminate_attitude_true_target,belief_acceptance_knowledge,belief_truth_knowledge,,,gemini-2.5-flash-lite,2026-07-09T02:39:47.102900+00:00,"{""attitude_status"": ""indeterminate"", ""truth_status"": ""true"", ""knowledge_status"": ""indeterminate""}",,0.534,"{
  ""attitude_status"": ""indeterminate"",
  ""truth_status"": ""true"",
  ""knowledge_status"": ""does_not_know"",
  ""brief_explanation"": ""Liam has no information about today's weather, so his attitude is indeterminate, but the proposition is true, and he does not know it.""
}",True,"{""attitude_status"": ""indeterminate"", ""truth_status"": ""true"", ""knowledge_status"": ""does_not_know"", ""brief_explanation"": ""Liam has no information about today's weather, so his attitude is indeterminate, but the proposition is true, and he does not know it.""}","Liam has no information about today's weather, so his attitude is indeterminate, but the proposition is true, and he does not know it.","{""attitude_status"": true, ""truth_status"": true, ""knowledge_status"": false}",2.0,3.0,0.6666666666666666
